locality,education_family,count
(inconnue),secondary_general,66
1,secondary_general,3
1 er degre,secondary_general,1
2,secondary_general,1
2e DEGRE,secondary_general,1
3e degre,secondary_general,1
3e DEGRE,secondary_general,1
3e DEGRE DE MENDONG,secondary_general,1
3e degre Oussa Bamvele,secondary_general,1
3e Dgr de Mendong,secondary_general,1
3e dgr LABLE,secondary_general,1
3me DEGRE,secondary_general,3
3me dgr Bakwat,secondary_general,1
ABBE,secondary_general,1
ABEM,secondary_general,1
ABO-SUD,secondary_general,1
Abokono,secondary_general,1
ABOKONO,secondary_general,1
ABONDO,secondary_general,1
Accueil,secondary_general,1
AFAN ETOUANA,secondary_general,1
AFANLOUM,secondary_general,1
AFANOYOA III,secondary_general,1
AHALA II,secondary_general,1
AKOEMAN 1,secondary_general,1
AKOK,secondary_general,1
AKONGO III,secondary_general,1
AKONO CENTRE,secondary_general,1
AKOUGOU,secondary_general,1
ANDOM-YEMBAMA,secondary_general,1
ANGONGO,secondary_general,1
APOUH A NGOG,secondary_general,1
ASSANZOA,secondary_general,1
ASSIE,secondary_general,1
AWAE,secondary_general,2
AWAE - NKOABANG,secondary_general,1
AWO'O,secondary_general,1
AYENE,secondary_general,1
BABONG,secondary_general,1
BADJOB,secondary_general,1
BAKAKA,secondary_general,1
BAKOKO,secondary_general,1
BALAMBA 1,secondary_general,1
BALONG,secondary_general,1
Bana-ondom,secondary_general,1
BANEKA,secondary_general,1
BAPE,secondary_general,1
BARE VILLAGE,secondary_general,1
BAREHOCK,secondary_general,1
BARESSOUMTOU,secondary_general,1
BARRIERE,secondary_general,1
BAYOMEN,secondary_general,1
BEGNI,secondary_general,1
Beguele,secondary_general,1
BEKOKO,secondary_general,1
BELLE BELLE,secondary_general,1
BENGA,secondary_general,1
BENYABEGA,secondary_general,1
BEON,secondary_general,1
BEP,secondary_general,1
BIABEZOK,secondary_general,1
BIAKOA,secondary_general,1
BIANGOENA,secondary_general,1
BIKOK,secondary_general,1
BIKOP,secondary_general,1
BILANGA-KOMBE,secondary_general,1
BINDADJENGUE,secondary_general,1
BIPOCK,secondary_general,1
BISSIA,secondary_general,1
BISSOMBE,secondary_general,1
BITANG,secondary_general,1
BIYOUHA,secondary_general,1
Bloc 4,secondary_general,1
BLOC1,secondary_general,1
BOBOG I,secondary_general,1
BOBONG,secondary_general,1
Bobongo,secondary_general,1
BOGSO,secondary_general,1
BOJONGO,secondary_general,1
BOKITO-VILLE N 1,secondary_general,1
BOKO,secondary_general,1
Bomono ba jedu,secondary_general,1
BONADAM,secondary_general,1
BONAMIKANO,secondary_general,1
BONASSAMA,secondary_general,1
BONECK,secondary_general,1
BONEPOUPA II,secondary_general,1
BOURAKA,secondary_general,1
BOYABISSOUMBI,secondary_general,1
Brazzaville/ bonaloka,secondary_general,1
Canton BELL,secondary_general,1
CANTON BODIMAN,secondary_general,1
CANTON MBIAM,secondary_general,1
CHEFFERIE DE DEA,secondary_general,1
CITE VERTE,secondary_general,1
DEDO,secondary_general,1
DEUK CENTRE,secondary_general,1
DIBANG-CENTRE,secondary_general,1
DIWOM PK 32-35,secondary_general,1
DJOBWELE,secondary_general,1
DJOUNGOLO 3,secondary_general,1
DOUME,secondary_general,1
DZENG VILLE,secondary_general,1
EBEBDA II,secondary_general,1
EBINA,secondary_general,1
EBOA,secondary_general,1
Ebodoumou,secondary_general,1
EBOMBE,secondary_general,1
EDIOLOMO,secondary_general,1
EDZENDOUAN CENTRE,secondary_general,1
EFOK,secondary_general,1
EFOULAN,secondary_general,2
EGONA II,secondary_general,1
EKABITA-TOM,secondary_general,1
Ekali 1,secondary_general,1
EKEKOM,secondary_general,1
EKEL KOH,secondary_general,1
EKITE IV,secondary_general,1
EKOMBITIE,secondary_general,1
Ekorezok,secondary_general,1
EKOUM EBE,secondary_general,1
EKOUNOU,secondary_general,1
ELALE,secondary_general,1
Elig ngomo,secondary_general,1
ELIG-MFOMO,secondary_general,1
ELIG-NKOUMA I,secondary_general,1
ELIG-ZOGO,secondary_general,1
ELON,secondary_general,1
EMANA,secondary_general,3
EMVANE-SSO,secondary_general,1
ENDOM,secondary_general,1
ENGAP,secondary_general,1
ESSEKOU,secondary_general,1
ESSONG,secondary_general,1
EVINDISSI,secondary_general,1
EWOT,secondary_general,1
EYEK,secondary_general,1
EZEZANG-MENDOUM,secondary_general,1
GAH,secondary_general,1
Goufan 1,secondary_general,1
Groupement Tsinga,secondary_general,1
GUEFIGUE,secondary_general,1
GUIENTSING,secondary_general,1
GUIENTSING I,secondary_general,1
HAOUSSA,secondary_general,1
HEGBA,secondary_general,1
IKONDJ,secondary_general,1
INDICK,secondary_general,1
IRAD,secondary_general,1
ISSANDJA,secondary_general,1
ITAYAP,secondary_general,1
K OUTABA,secondary_general,1
KAHN,secondary_general,1
KAMBA,secondary_general,1
KASSALAFAM,secondary_general,1
KELLENG,secondary_general,1
Kiiki,secondary_general,1
KOAN,secondary_general,1
KOBDOMBO,secondary_general,1
Kollo,secondary_general,1
KOMASSI,secondary_general,1
KOMBO,secondary_general,1
KOMO,secondary_general,1
KOMPINA,secondary_general,1
KON,secondary_general,1
KONG,secondary_general,1
KOTTO MISSION,secondary_general,1
KOUDANDENG,secondary_general,1
Kougouda-centre,secondary_general,1
KOUSSE,secondary_general,1
KPWAMENDJING,secondary_general,1
LEKA,secondary_general,1
LELEM MOUATONG,secondary_general,1
LELEP II NORD,secondary_general,1
LINTE,secondary_general,1
LOBO,secondary_general,1
LOGBADJECK,secondary_general,1
LOGPOM,secondary_general,1
LOGTCHA,secondary_general,1
LYCEE,secondary_general,1
MAHONDA,secondary_general,1
Makai,secondary_general,1
MAKAK II,secondary_general,1
MAKONDO,secondary_general,1
MALIMBA GARE,secondary_general,1
MAMB,secondary_general,1
MAMBANDO,secondary_general,1
Mandjab,secondary_general,1
MANDJACK-ESEKA,secondary_general,1
MANDOUMBA,secondary_general,1
MANEHAS,secondary_general,2
MANENGOLE,secondary_general,1
MANENGOTENG,secondary_general,1
MANENGOUBA II,secondary_general,1
MANENGWASSA,secondary_general,1
MANGUEN II,secondary_general,1
Manoka centre,secondary_general,1
MASSOCK,secondary_general,1
MASSOUMBOU,secondary_general,1
MAWEL,secondary_general,1
MBALLA 2,secondary_general,1
MBALNGONG,secondary_general,1
Mbanda-Ecole,secondary_general,1
MBANG,secondary_general,1
MBANGA-PONGO,secondary_general,1
MBANKOMO,secondary_general,1
MBANSAN1,secondary_general,1
MBEBE,secondary_general,1
MBEKA,secondary_general,1
MBELE I,secondary_general,1
MBELEKIE,secondary_general,1
MBEMA,secondary_general,1
MBENG,secondary_general,1
MBIMBE,secondary_general,1
MBOCK-KULU,secondary_general,1
MBOKAMBO,secondary_general,1
Mbongo village,secondary_general,1
MBOUDJOU,secondary_general,1
MBOUI,secondary_general,1
MEFOMO,secondary_general,1
MEHANDAN I,secondary_general,1
MEKON II,secondary_general,1
