official_id,official_name,region,department,arrondissement,existing_match_id,existing_name,match_type,confidence,recommended_action
4CC1GSBD111704099,Lyce Bilingue de BABADJOU,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CC1GSBD111789112,Lyce Bilingue de BACHUA,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CC1GSBD111800108,Lyce Bilingue de ZAVION,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CC1GSFD111793110,Lyce de BAMENDJINGHA,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD101616111,CES de KING-PLACE-BATCHAM,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSBD112003114,Lyce Bilingue de BANGANG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSBD111591114,Lyce Bilingue de BATCHAM,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111823111,Lyce de BABEKOUO,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111619110,Lyce de BALEGHANG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111621107,Lyce de BAMBI-BATCHAM,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111777107,Lyce de BAMETIM,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111811110,Lyce de BAMOUGONG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111802108,Lyce de BANGWANG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111605112,Lyce de BATCHUETIO,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111137113,Lyce de BATSINTSUE,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111594109,Lyce de NZINDONG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CE1GSFD111611112,Lyce de TSINTSUET,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CH1GSFD100511111,CES de MENFOUNG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CH1GSBD111853112,Lyce Bilingue de GALIM,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CH1GSBD110524111,Lyce Bilingue de KIENEGHANG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CH1GSFD110670109,Lyce de BAGAM,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CH1GSFD110563112,Lyce de BAMENYAM,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CH1GSFD111697110,Lyce de BATI,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSBD103242120,CES Bilingue de BAMENDJO-BAMETEGOU,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSBD111211114,Lyce Bilingue de BALATCHI,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSBD111329110,Lyce Bilingue de BAMESSO,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSBD112030097,Lyce Bilingue de MBOUDA,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSBD110658107,Lyce Bilingue de MBOUDA-BANOCK,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSBD111930115,Lyce Bilingue de MBOUDA-RURAL,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSFD110663109,Lyce de BABETE,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSFD110612109,Lyce de BAMENKOMBO,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSFD111795110,Lyce de KONTSA'A,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4CI1GSFD111798107,Lyce de MBOUGONG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EC1GSBD101500100,CES Bilingue de BANKONDJI,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EC1GSBD111504105,Lyce Bilingue de BAFANG,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EC1GSFD111246111,Lyce de BABOUTCHA-NINTCHEU,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EC1GSFD111813109,Lyce de BABOUTCHEU-NGALEU,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EC1GSFD111803106,Lyce de BAFANG-RURAL,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EE1GSFD101181110,CES de BABOUTCHA-FONGAM,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EE1GSFD102352113,CES de FOPOUANGA,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EE1GSBD111688113,Lyce Bilingue de BAKOU,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EH1GSBD102145112,CES Bilingue de BADOUMBASSA,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
4EH1GSFD101797103,CES de BAKASSA,OUEST,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
