official_id,official_name,region,locality,status,duplicate_of_establishment_id,match_type,match_reason
8CC1GSBD123147118,CES Bilingue de BENGBIS,SUD,,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CC1GSFD100010107,CES de MEKAS,SUD,,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CC1GSFD100028109,CES de MINLA'A,SUD,MINLA'A,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CC1GSFD101940109,CES de NGONEBEME,SUD,NGONEBEME,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CC1GSFD111856092,Lyce Mixte de BENGBIS,SUD,MEKA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CE1GSFD101871104,CES d'ESSONG (Djoum),SUD,,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CE1GSBD110167107,Lyce Bilingue de DJOUM,SUD,ADJAP,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CE1GSFD100357110,Lyce de MVENG,SUD,MVENG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CH1GSBD101950112,CES Bilingue de MEYOMESSALA,SUD,NGAT,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CH1GSFD102157109,CES de MEBAME,SUD,,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CH1GSFD100347112,CES de MEGUEME,SUD,YEKOE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CH1GSFD102316113,CES de MESSOK,SUD,Messok,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CH1GSFD101982105,CES de NGOASSE,SUD,Ngoasse,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CH1GSFD101925106,CES de NKOLENYENG,SUD,NKOLENYENG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
8CH1GSFD100409105,CES de NKOMO,SUD,NKOMO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
