official_id,official_name,region,raw_locality,locality_status
8CH1GSFD102312113,CES de TATCHING II,SUD,Tatching 2,NEEDS_REVIEW
8EL1GSFD102044111,CES d'ENDENGUE,SUD,2e DEGRE,CLEARLY_INVALID
8HE1GSFD100367110,CES de GRAND-ZAMBI,SUD,3e degre de Grand Zambi,NEEDS_REVIEW
8HK1GSFD102318113,CES de NKOLLO,SUD,3,CLEARLY_INVALID
8HK1GSBD111317110,Lyce Bilingue de KRIBI-RURAL,SUD,V 01 Socalpalm KEINK,NEEDS_REVIEW
8HL1GSFD101265110,CES de BIKOKA,SUD,35,CLEARLY_INVALID
8HM1GSFD102736114,CES de WOM,SUD,WOM 1,NEEDS_REVIEW
8IC1GSBD112069108,Lyce Bilingue d'AMBAM,SUD,1,CLEARLY_INVALID
8II1GSBD100170118,CES Bilingue de BIYI-AKOUM-ESEJEE,SUD,3e dgr de BIYI,NEEDS_REVIEW
9CH1GSFD102846115,CES de MIKEL,EST,3eme degre mikel,NEEDS_REVIEW
9CI1GSFD100054106,CES de MBOY I,EST,MBOY 1,NEEDS_REVIEW
9HC1GSFD102066108,CES de GADJI,EST,3me,CLEARLY_INVALID
9HC1GSFD101318112,CES de TAPARE,EST,3eme DEGR,NEEDS_REVIEW
9IC1GSFD110011113,Lyce de NDEMBA I,EST,NDEMBA 1,NEEDS_REVIEW
9IE1GSFD102844115,CES de BIRPONDO,EST,CHEFFERIE DE BIRPONDO,POSSIBLE_REAL_LOCALITY
9IE1GSFD110321105,Lyce de MOKOLO 4-BERTOUA,EST,MOKOLO 4,NEEDS_REVIEW
9IH1GSFD102370113,CES de BERTOUA II,EST,Bertoua 2,NEEDS_REVIEW
9IH1GSFD102394113,CES de NGAIKADA,EST,NGAKADA 1,NEEDS_REVIEW
9II1GSFD110335115,Lyce de MBITOM,EST,DEUXIEME DEGRE,NEEDS_REVIEW
3CC1GSBD110178110,Lyce Bilingue de BELO,NORD-OUEST,2,CLEARLY_INVALID
3JE1GSAD100066112,CES de BOSSA,NORD-OUEST,0,CLEARLY_INVALID
3LC1GSAD102307113,CES de KEFEUNG,NORD-OUEST,BABA 1,NEEDS_REVIEW
6CE1GSAD110479113,Lyce de BONADIKOMBO-MILE 4,SUD-OUEST,BONADIKOMBO MILE 4,NEEDS_REVIEW
6CE1GSAD111852082,Lyce de LIMBE,SUD-OUEST,LIMBE 1,NEEDS_REVIEW
6EE1GSAD102322113,CES de BABENSI I,SUD-OUEST,Babensi 1,NEEDS_REVIEW
6EH1GSAD102813115,CES de NGOBENYOE,SUD-OUEST,0,CLEARLY_INVALID
