matricule,name_raw,scheme,region_inferred,region_confidence,type_hint,match_type,v1_name,v1_region,v1_official_id
AD08270B01,CES BILINGUE DE BEKA-GHOTTO,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,CES de BEKA,ADAMAOUA,2IH1GSFD100239113
AD08270A02,CES DE DANFILI MAMBAL,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de DANFILI-MAMBAL,ADAMAOUA,2CC1GSFD102414108
AD08270A03,CES DE NGAOUNDAL GARE,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de NGAOUNDAL-GARE,ADAMAOUA,2CC1GSFD102433111
AD08270A04,CES DE PANGAR,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de PANGAR,ADAMAOUA,2CC1GSFD100550113
10030001,COLLEGE PRIVEE AMIBO DE NGAOUDAL,DIGIT_PREFIX,,,ESG_OR_UNKNOWN,NEW,,,
AD08270H05,LYCEE BILINGUE DE NGAOUNDAL,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,CES de NGAOUNDAL-GARE,ADAMAOUA,2CC1GSFD102433111
AD08270I06,LYCEE DE NGAOUNDAL,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,CES de NGAOUNDAL-GARE,ADAMAOUA,2CC1GSFD102433111
AD08270L14,LYCEE TECHNIQUE DE NGAOUNDAL,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESTP,PROBABLE,CES de NGAOUNDAL-GARE,ADAMAOUA,2CC1GSFD102433111
AD08336A07,CES DE KOATA,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de KOATA,ADAMAOUA,2CE1GSFD102428111
AD08336A08,CES DE MEIDJAMBA,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de MEIDJAMBA,ADAMAOUA,2CE1GSFD100031111
AD08336A09,CES DE MINIM,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de MINIM,ADAMAOUA,2CE1GSFD102249108
AD08336A10,LYCEE DE YOKO TIBATI,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,CES de YOKO-TIBATI,ADAMAOUA,2CE1GSFD102856115
AD08336C15,CETIC DE TONGO,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESTP,NEW,,,
AD08336E16,ENIEG DE TIBATI,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ENI,PROBABLE,CES de YOKO-TIBATI,ADAMAOUA,2CE1GSFD102856115
AD08336H11,LYCEE BILINGUE DE TIBATI,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,CES de YOKO-TIBATI,ADAMAOUA,2CE1GSFD102856115
AD08336I12,LYCEE DE MBAKAOU,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,Lyce de MBAKAOU,ADAMAOUA,2CE1GSFD112419115
AD08336I13,LYCEE DE MENG,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,Lyce de MENG,ADAMAOUA,2CE1GSFD110001114
AD08336L17,LYCEE TECHNIQUE DE TIBATI,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESTP,PROBABLE,CES de YOKO-TIBATI,ADAMAOUA,2CE1GSFD102856115
AD12136A01,CES DE WOGOMDOU,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de WOGOMDOU,ADAMAOUA,2EE1GSFD100392110
AD12136I02,LYCEE BILINGUE DE GALIM-TIGNERE,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,Lyce Bilingue de GALIM-TIGNERE,ADAMAOUA,2EE1GSFD111932102
AD12166A03,CES DE KONTCHA,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de KONTCHA,ADAMAOUA,2EH1GSFD100526104
AD12209A04,LYCEE D&#039;ALME,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,CES d'ALME,ADAMAOUA,2EI1GSFD100832108
AD12209A05,CES DE GADJIWAN,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de GADJIWAN,ADAMAOUA,2EI1GSFD101984112
AD12209C12,CETIC DE MAYO-BALEO,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESTP,PROBABLE,Lyce Bilingue de MAYO-BALEO,ADAMAOUA,2EI1GSFD110323106
AD12209I06,LYCEE BILINGUE DE MAYO-BALEO,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,Lyce Bilingue de MAYO-BALEO,ADAMAOUA,2EI1GSFD110323106
AD12337A07,CES DE GASSANGUEL,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de GASSANGUEL,ADAMAOUA,2EJ1GSFD102863115
AD12337A08,LYCEE DE LIBONG MARCHE,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,PROBABLE,CES de LIBONG-MARCHE,ADAMAOUA,2EJ1GSFD102424109
AD12337A09,CES DE SADECK,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ESG_OR_UNKNOWN,EXACT_IDENTITY_REGION,CES de SADECK,ADAMAOUA,2EJ1GSFD102437112
AD12337E13,ENIEG DE TIGNERE,ALPHA_PREFIX,Adamaoua,CONFIRMED_BY_MATCH,ENI,PROBABLE,Lyce Bilingue de GALIM-TIGNERE,ADAMAOUA,2EE1GSFD111932102
