official_name,category_hint,city,source_name,source_url,source_type,match_type,matched_against
Collège de la Réunification Tankou,college,Bafoussam,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Collège Polyvalent Bilingue Martin Luther King,college_bilingue,Bafoussam,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Collège Saint-Thomas d'Aquin de Bafoussam,college_confessionnel,Bafoussam,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Collège la Confiance de Bafoussam,college,Bafoussam,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Lycée Classique de Bafoussam,lycee_public,Bafoussam,Recherche web générale,,tier3,ALREADY_LIVE,Lyce Classique de BAFOUSSAM
Lycée Technique de Bafoussam,lycee_technique_public,Bafoussam,Recherche web générale,,tier3,ALREADY_LIVE,Lyce Bilingue de BAFOUSSAM
Lycée de Bafoussam (Ndiengdam),lycee_public,Bafoussam,Recherche web générale,,tier3,ALREADY_LIVE,Lyce Bilingue de BAFOUSSAM-NDIENGDAM
Lycée Bilingue de Baleng,lycee_public,Bafoussam,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Lycée Bilingue de Bafoussam,lycee_public,Bafoussam,Recherche web générale,,tier3,ALREADY_LIVE,Lyce Bilingue de BAFOUSSAM
Lycée Technique de Banengo,lycee_technique_public,Bafoussam,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Complexe Polytechnique Bilingue Laïc Tama,college_bilingue,Bafoussam,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
