official_name,category_hint,city,source_name,source_url,source_type,match_type,matched_against
CEFTI,college,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,CEFTI
CEGT MALANGUE,college,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,CEGT MALANGUE
CETI NGUEUGA,college,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,CETI NGUEUGA
CETI STE CECILE,college,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,CETI STE CECILE
COLLEGE ANDRE MALRAUX,college,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE ANDRE MALRAUX
COLLEGE BENEDICTE,college,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BENEDICTE
COLLEGE BILINGUE ADONAÏ,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE ADONAÏ
COLLEGE BILINGUE BONCHOUO,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE BONCHOUO
COLLEGE BILINGUE EMERGENCE MIAFO SOLANGE,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE EMERGENCE MIAFO SOLANGE
COLLEGE BILINGUE FANON ET CESAIRE,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE FANON ET CESAIRE
COLLEGE BILINGUE FO KAMGA JOSEPH DAUPHINE,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,REVIEW_REQUIRED,Collège Dauphine
COLLEGE BILINGUE LA CADENELLE,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE LA CADENELLE
COLLEGE BILINGUE L'ORCHIDEE,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun / InovEdu,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE L'ORCHIDEE
COLLEGE BILINGUE LA PERLE,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE LA PERLE
COLLEGE BILINGUE LAVAL,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE LAVAL
COLLEGE BILINGUE LE PETIT ROUSSEAU,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE LE PETIT ROUSSEAU
COLLEGE BILINGUE LES LEADERS,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE LES LEADERS
COLLEGE BILINGUE MATURITE,college_bilingue,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE BILINGUE MATURITE
COLLEGE CHARLES DE GAULLE,college,Douala,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,tier3,ALREADY_STAGING,COLLEGE CHARLES DE GAULLE
