official_name,category_hint,city,source_name,source_url,source_type,match_type,matched_against
Collège et Lycée Classique et Moderne de Garoua,lycee_public,Garoua,Recherche web générale,,tier3,ALREADY_LIVE,Lyce Classique et Moderne de GAROUA
Collège et Lycée Bilingue de Garoua,lycee_public,Garoua,Recherche web générale,,tier3,ALREADY_LIVE,Lyce Bilingue de GAROUA
Collège et Lycée Technique de Garoua,lycee_technique_public,Garoua,Recherche web générale,,tier3,ALREADY_LIVE,Lyce Bilingue de GAROUA
Collège et Lycée Polyvalent de Garoua,lycee_public,Garoua,Recherche web générale,,tier3,ALREADY_LIVE,Lyce Bilingue de GAROUA
Complexe Scolaire Bilingue Lamido Aman Sa'aly,college_bilingue,Garoua,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Lycée Technique de Bibemiré,lycee_technique_public,Garoua,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Lycée de Garoua Djamboutou,lycee_public,Garoua,ecolesaucameroun.com,https://ecolesaucameroun.com/ecole.php?id=3042-lycee-de-garoua-djamboutou,tier3,ALREADY_LIVE,Lyce de GAROUA-DJAMBOUTOU
Lycée Technique de Garoua Djamboutou,lycee_technique_public,Garoua,ecolesaucameroun.com,https://ecolesaucameroun.com/ecole.php?id=3056-lycee-technique-de-garoua-djamboutou-arrondissement-de-garoua-i,tier3,ALREADY_LIVE,Lyce de GAROUA-DJAMBOUTOU
Lycée Bilingue de Garoua,lycee_public,Garoua,ecolesaucameroun.com,https://ecolesaucameroun.com/ecole.php?id=3064-lycee-bilingue-de-garoua,tier3,ALREADY_LIVE,Lyce Bilingue de GAROUA
Lycée Technique Bilingue de Garoua,lycee_technique_public,Garoua,ecolesaucameroun.com,https://ecolesaucameroun.com/ecole.php?id=3068-lycee-technique-bilingue-de-garoua-arrondissement-de-garoua-ii,tier3,ALREADY_LIVE,Lyce Bilingue de GAROUA
Collège Canard,college,Garoua,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Collège Lamido Hayatou,college,Garoua,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
