city,priority,region,count_live,count_staging,count_unique,count_with_official_id,count_without_city,count_locality_matching_city,count_secondary_general,count_secondary_technical
Douala,1,Littoral,31,4,31,8,5,1,16,0
Yaoundé,1,Centre,25,2,26,3,2,0,10,0
Bafoussam,2,Ouest,5,5,5,10,5,4,10,0
Bamenda,2,Nord-Ouest,4,5,5,9,9,2,9,0
Buea,2,Sud-Ouest,9,9,9,18,18,1,18,0
Limbe,2,Sud-Ouest,3,3,3,6,6,3,6,0
Kumba,2,Sud-Ouest,8,11,11,19,19,6,19,0
Garoua,2,Nord,9,9,9,18,11,1,18,0
Maroua,2,Extrême-Nord,8,8,8,16,9,2,16,0
Ngaoundéré,2,Adamaoua,4,4,4,8,5,0,8,0
Bertoua,3,Est,4,4,4,8,8,1,8,0
Ebolowa,3,Sud,5,5,5,10,10,0,10,0
Kribi,3,Sud,3,3,3,6,6,0,6,0
Dschang,3,Ouest,3,3,3,6,3,1,6,0
Foumban,3,Ouest,1,1,1,2,1,0,2,0
Nkongsamba,3,Littoral,1,1,1,2,1,0,2,0
Edéa,3,Littoral,2,2,2,4,2,0,4,0
Kousséri,3,Extrême-Nord,4,4,4,8,4,0,8,0
Mbouda,3,Ouest,3,3,3,6,3,0,6,0
Bangangté,3,Ouest,3,3,3,6,3,0,6,0
Mokolo,3,Extrême-Nord,7,7,8,13,8,6,13,0
Sangmélima,3,Sud,3,3,3,6,6,0,6,0
Batouri,3,Est,2,2,2,4,4,0,4,0
Abong-Mbang,3,Est,3,3,3,6,6,0,6,0
Mamfe,3,Sud-Ouest,2,3,3,5,5,3,5,0
Kumbo,3,Nord-Ouest,4,5,5,9,9,1,9,0
