official_id,official_name,region,city,category,source,review_status,promotion_eligibility
5CE1GSFD100766112,CES d'ENDOUMDANE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CE1GSFD100593111,CES de ZOA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CH1GSFD102443109,CES de NDJORE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CH1GSBD110468106,Lyce Bilingue de MBANDJOCK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CI1GSFD100114108,CES de NGO'O,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CI1GSFD110426111,Lyce de WALL,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CJ1GSFD100378107,CES de DEA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CJ1GSFD111355078,Lyce Classique de NANGA-EBOKO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CK1GSFD101633112,CES de CAMP-NANGAH,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5CK1GSBD110390109,Lyce Bilingue de NKOTENG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EC1GSFD102379110,CES d'ELON,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EE1GSFD100668107,CES de KOAN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EE1GSFD101075109,CES de NKANG-EFOK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EE1GSFD101942112,CES de NKOM,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EH1GSFD112402105,Lyce d'ELIG-MFOMO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EI1GSFD100585109,CES de NLOUDOU,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EI1GSBD111909115,Lyce Bilingue d'EVODOULA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EI1GSFD112406111,Lyce de NKOLKOUGDA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EJ1GSFD101063110,CES d'EKEKAM III,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EJ1GSFD100844111,CES de NKOLMEYANG-LOBO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EJ1GSFD112136099,Lyce Moderne de NLONG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EK1GSBD102460112,Lyce Bilingue de MONATELE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EK1GSFD110163112,Lyce de MONABO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EK1GSFD111867112,Lyce de MONATELE II,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EL1GSFD100133109,CES d'ELIG-NKOUMA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EL1GSFD102447106,CES d'ESSONG (Obala),CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EL1GSFD110185111,Lyce d'EFOK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EL1GSFD110363111,Lyce d'EZEZANG-MENDOUM,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EL1GSFD110377112,Lyce de KOUDANDENG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EL1GSFD110340097,Lyce de NKOMOTOU,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EL1GSFD110017109,Lyce de YEMESSOA I,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EM1GSFD102454109,CES d'OKOUKOUDA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EM1GSFD102386112,CES de NGOYA II,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EM1GSFD102451112,CES de NKOLAKIE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EM1GSFD110122091,Lyce d'OKOLA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EM1GSFD112245109,Lyce de NTUISSONG-OKOLA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EM1GSFD110103106,Lyce de ZAMENGOUE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EN1GSFD100160106,CES de NKOLZOA I,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EN1GSFD100736108,CES de POLO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EN1GSFD112179100,Lyce d'EKEKOM,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EN1GSFD110769115,Lyce de MENGAMA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5EN1GSFD111938106,Lyce de NKOLVE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HC1GSFD100893109,CES de DONENKENG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HC1GSFD100920104,CES de MERENG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HC1GSBD111839105,Lyce Bilingue de BAFIA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HE1GSFD102851115,CES d'EDIOLOMO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HH1GSFD100136105,CES de BANGONG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HE1GSFD101052110,CES de GUEFIGUE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HE1GSFD110826111,Lyce de BALAMBA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HH1GSFD100540110,CES de BOKO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HI1GSBD103234120,CES Bilingue de KIIKI,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HI1GSFD100118110,CES de BEP,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HI1GSFD101969110,CES de GBARAM-YAKAN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HJ1GSFD102445109,CES de BAPE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HJ1GSFD110451113,Lyce de KON-YAMBETTA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HK1GSBD103235120,CES Bilingue de MAKENENE-EST,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HK1GSFD110404097,Lyce de MAKENENE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HL1GSFD100482108,CES de NDIKOKO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HL1GSFD101960102,CES de NDOKOWANEN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HL1GSFD110633107,Lyce de NEBOLEN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HN1GSBD100458111,CES Bilingue d'OMBESSA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HN1GSFD110626091,Lyce d'OMBESSA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5HN1GSFD110439118,Lyce de BOURAKA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IC1GSFD100456111,CES de BIAKOA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IC1GSFD100923110,CES de VOUNDOU,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IC1GSFD110132114,Lyce de TEATE-EBINA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IE1GSFD102043112,CES de GAH,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IE1GSFD100477110,CES de NDITAM,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IH1GSBD100192109,CES Bilingue de NYABIDI,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IH1GSFD101990109,CES d'EGONA II,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IH1GSFD110401110,Lyce de YASSEM,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IC1GSFD101058107,CES de YEBEKOLO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5II1GSBD110413111,Lyce Bilingue de NTUI,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IJ1GSFD100462110,CES de DOUME-YOKO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IJ1GSFD100387110,CES de LINTE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5IJ1GSFD102436111,CES de NGOUETOU,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JC1GSFD101134100,CES d'AFANLOUM,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JH1GSBD101724109,CES Bilingue d'AWAE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JH1GSFD101729108,CES de MIMBANG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JH1GSFD101182108,CES de NGUINDA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JH1GSFD111172105,Lyce d'ELAT,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JI1GSFD100765100,CES d'EDZENDOUAN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JJ1GSFD100666106,CES d'AFANETOUANA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JJ1GSFD100727110,CES d'EBOLZOK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JJ1GSFD100647107,CES de MVENG-ESSABOUTOU,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JK1GSFD102427103,CES d'AWAE-MFOU,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JK1GSFD102438106,CES d'EKALI I,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JK1GSFD100142107,CES de MFOU-VILLE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JK1GSFD100126108,CES de NKOLOVENG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JK1GSFD110763107,Lyce d'ABANG-NKONGOA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JK1GSFD110714099,Lyce d'ESSAZOK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JK1GSFD110726107,Lyce de NKOLNDA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JL1GSFD100761112,CES de MINDICK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JL1GSFD102413100,CES de NKOLMEYANG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JL1GSFD110746098,Lyce Bilingue de NKOABANG-NKOLAFAMBA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JN1GSFD100695113,CES de NTOUESSONG V,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JN1GSBD102705114,Lyce Bilingue de NKOZOA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JN1GSFD110333112,Lyce de MBANSAN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JN1GSFD110014091,Lyce de SOA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5JN1GSFD110472109,Lyce Moderne de NKOZOA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KC1GSFD100304109,CES de NKOL-NLONG I,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KE1GSFD100261099,CES d'EVINDISSI,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KE1GSFD100455100,CES de BIKOP,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KE1GSFD102442110,CES de ZOATOUPSI,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KE1GSFD110254111,Lyce de MEYILA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KH1GSBD110309112,Lyce Bilingue de MBALNGONG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KH1GSFD112410111,Lyce d'ANGONGO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KH1GSFD112422115,Lyce de BINGUELA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KH1GSFD110374106,Lyce de MEFOMO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KI1GSBD100285112,CES Bilingue de NKONGZOK II,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KI1GSFD110250107,Lyce d'OTELE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5KI1GSFD112473074,Lyce de NGOUMOU,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LC1GSFD102847115,CES de TSINGA-VILLAGE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LC1GSFD110673115,Lyce Bilingue de NYOM,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LC1GSFD110189091,Lyce d'ELIG-ESSONO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LC1GSFD110699105,Lyce de NKOLONDOM,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LE1GSFD110120091,Lyce de TSINGA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LH1GSBD112399092,Lyce Bilingue d'APPLICATION,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LH1GSFD111196113,Lyce d'AHALA II,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LH1GSFD110108097,Lyce de NSAM-EFOULAN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LI1GSBD110135110,Lyce Bilingue de MIMBOMAN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LI1GSFD110382091,Lyce Bilingue de NKOLNDONGO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LI1GSFD110155106,Lyce de MINKAN,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5ME1GSFD112151110,Lyce de BONDJOCK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LJ1GSFD112791114,Lyce de NKOLMESSENG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LK1GSBD110117098,Lyce Bilingue d'ETOUG-EBE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5LL1GSBD110373110,Lyce Bilingue d'EKOREZOK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5ME1GSFD100552107A,CES de LINDOI,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MH1GSFD102197110,CES de BOBOG I,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MH1GSFD102365107,CES de MBANDA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MH1GSFD100514106,CES de MOM-LELEP II,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MH1GSFD100403109,CES de PAN-MAKAK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MH1GSFD110519107,Lyce de HEGBA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MI1GSFD101239107,CES de NDONGO-CENTRE,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MI1GSFD111830092,Lyce de DIBANG,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MJ1GSBD111670107,Lyce Bilingue d'ESEKA,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MJ1GSFD111234112,Lyce de BOGSO,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
5MK1GSFD101903103,CES de MBEMNDJOCK,CENTRE,,secondary_general,MINESEC,approved_for_promotion,PROMOTABLE
