name,region,suspicious_locality
"Lyce de LEMBE-YEZOUM","CENTRE","1 er degre"
"Lyce de MBANDJOCK","CENTRE","2e DEGRE"
"CES d'OUASSA-BAMVELE","CENTRE","3e degre Oussa Bamvele"
"CES de DEA","CENTRE","CHEFFERIE DE DEA"
"Lyce Bilingue de NANGA-EBOKO","CENTRE","3me DEGRE"
"Lyce de NKOTENG","CENTRE","3me DEGRE"
"Lyce de KOKODO","CENTRE","OUI"
"CES de VOA II","CENTRE","Oui"
"CES de BOKAGA II","CENTRE","3e degre"
"Lyce Bilingue de NGAMBE-TIKAR","CENTRE","1"
"Lyce d'ANGUISSA","CENTRE","1"
"Lyce Bilingue de MENDONG","CENTRE","3e DEGRE DE MENDONG"
"CES de ZALOM","CENTRE","1"
"Lyce de MBALMAYO-RURAL","CENTRE","2"
"Lyce d'AKWA","LITTORAL","OUI"
"Lyce d'OYACK","LITTORAL","3me DEGRE"
"Lyce d'AKWA-NORD","LITTORAL","3e DEGRE"
"Lyce de BABOUTCHEU-NGALEU","OUEST","OUI"
"Lyce de KEKEM","OUEST","CHEFFERIE SUPERIEURE DU 3EME DEGRE"
"Lyce de BALOUMGOU","OUEST","Oui"
"Lyce de FOTO-LIVOUNLI","OUEST","OUI"
"Lyce de FONGO-TONGO","OUEST","2 DEGRE"
"Lyce de BANSOA-MBRI","OUEST","CHEFFERIE SUPERIEURE BANSOA (2e DEGRE)"
"CES de NJICHOM","OUEST","OUI"
"Lyce de NJINGOUMBE ET NJITAPON","OUEST","Chefferie Njingoumbe/Chefferie Njitapon"
"CES de MATTA-BARRAGE","OUEST","MATTA 3E DEGRE"
"CES de YAMBA","ADAMAOUA","3me DEGRE YAMBA"
"Lyce de MEIDOUGOU","ADAMAOUA","3me Degre de MEIDOUGOU"
"Lyce Bilingue de BELEL","ADAMAOUA","3"
"CES d'HANGLOA","ADAMAOUA","3"
"Lyce de WACK","ADAMAOUA","2 DEGRE WACK"
"Lyce d'HOULA","NORD","3"
"Lyce de PADARME","NORD","OUI"
"Lyce Bilingue de KOLLERE-GAROUA","NORD","3 DEGRE KOLLERE"
"CES de SONAYO","NORD","3"
"CES de LANGUI","NORD","3e degre"
"Lyce de NDJOLA","NORD","3e DEGRE"
"CES de MBAKA","NORD","3e DEGRE"
"CES de NGASSA","EXTREME-NORD","CHEFFERIE DOURSOUNGO"
"Lyce de KATOUAL","EXTREME-NORD","KATOUAL 2e degre"
"Lyce de MAKABAYE","EXTREME-NORD","3me DEGRE DE MAKABAYE"
"Lyce de MESKINE","EXTREME-NORD","1r DEGRE DE MESKINE"
"Lyce Bilingue de GUISSIA","EXTREME-NORD","1"
"CES de BAIGA","EXTREME-NORD","2E DEGRE"
"Lyce Bilingue de DJONGDONG","EXTREME-NORD","2E DEGRE"
"Lyce de TOUKOU","EXTREME-NORD","1"
"Lyce de DOUBANE","EXTREME-NORD","2e degre"
"Lyce de GOING-LARA","EXTREME-NORD","OUI"
"Lyce de MINDJIL","EXTREME-NORD","OUI"
"Lyce Bilingue de BOUKOULA","EXTREME-NORD","2emeDEGRE"
"Lyce de ZOUVOUL","EXTREME-NORD","2"
"CES de GOLIGUECHE","EXTREME-NORD","OUI"
"Lyce de ZIDIM","EXTREME-NORD","3 DEGRE"
