institution_name,region_from_list,source_record_id,url_redacted_for_pii,fetched_at,http_status,creation_order_raw,opening_authorization_raw,provisional_combined_raw,status_change_raw,region_field,city_field,pii_present_in_source,confessional_heuristic
"Institut Supérieur des Sciences, de Technologie, de Management et Développement Durable (ISSTMADD)",Région de l’Adamaoua,8064,false,2026-08-19T13:37:09.251Z,200,,,,,Adamaoua,,true,false
Institut Supérieur Fondation Mamadou Bako,Région de l’Adamaoua,8044,false,2026-08-19T13:37:16.089Z,200,N°13/0412/MINESUP/SG/DDES/ESUP du 10 septembre 2013,N°14/0386/MINESUP/SG/DDES/ESUP du 04septembre 2014,,,Nord,,true,false
Institut Supérieur des Sciences et Techniques de la Santé,Région de l’Adamaoua,8062,false,2026-08-19T13:37:18.005Z,200,,,,,Nord,,true,false
Jagora University,Région du Centre,8ee90f4f43d0fed0,false,2026-08-19T13:37:19.144Z,200,,,,,,,false,false
Citec Higher Institute of Technology and Management (ICTU),Région du Centre,a6043d6d89e403e4,false,2026-08-19T13:37:20.283Z,200,N°11/0043/MINESUP du 12 janvier 2011,N°12/0389/MINESUP du 17 août 2012,,,Centre,Yaoundé &#8211; Nsimeyong,true,false
Ecole Supérieure Africaine de Technologies Appliquées et de Gestion (ESATAG),Région du Centre,,false,2026-08-19T13:37:22.034Z,-1,,,,,,,,
Ecole Supérieure de Management et des Technologies Appliquées « ESMATA»,Région du Centre,647032df2cd08812,false,2026-08-19T13:37:22.253Z,200,N°2705/MINFI/MINESUP du 17 novembre 2015,N°2705/MINFI/MINESUP du 17 novembre 2015,,,Yaoundé,EMMANA PONT,false,false
Heritage Higher Institute of Peace Development Studies (HEHIPEDS),Région du Centre,a0e73df321b94374,false,2026-08-19T13:37:23.379Z,200,N°17-10496/N/MINESUP/DDES/ESUP/SDA/NJN/ebm du 23 octobre 2017,N°17-10496/N/MINESUP/DDES/ESUP/SDA/NJN/ebm du 23 octobre 2017,,,Centre,Obili,true,false
Higher Institute of Management and Entrepreneurship (HIME),Région du Centre,4621,false,2026-08-19T13:37:24.533Z,200,n°13/0399/MINESUP/SG/DDES du 10 septembre 2013,N°16-13343/L/MINESUP/SG/DDES/SSIPES/AOSB du 08 décembre 2016,,,Centre,Yaoundé (Bastos),true,false
Institut AGENLA Academy,Région du Centre,ca737a7687077bde,false,2026-08-19T13:37:27.140Z,200,N°13/0410/MINESUP/SG/DDES du 10 septembre 2013,,,,Centre,Yaoundé (Nkoabang),true,false
Institut de Management et de Marketing Supérieur de Commerce (I2M Sup de Co Cameroun),Région du Centre,637f16f27ec1d37c,false,2026-08-19T13:37:28.282Z,200,N°14/00531/MINESUP/CAB/nna du 21 novembre 2014,N°14/00531/MINESUP/CAB/nna du 21 novembre 2014,,,Centre,Yaoundé (Nkolbisson),true,false
"Institut Supérieur Azimut de Commerce, de Technologie et de Santé",Région du Centre,94e289f3b0962860,false,2026-08-19T13:37:29.391Z,200,N°14/0027/L/MINESUP/SG/DDES/ du 11 mars 2014,N°14/0400/MINESUP/SG/DDES/ du 04 juillet 2014,,,Centre,Nkolfoulou (face GMI),true,false
