staging_id,name,region,city,decision,matched_establishment_id,match_type,source_status,pii_safe,identifier_count,identifier_collision,reason
dd59929f-728d-403b-aeba-2f2e0d4e4076,Acces Care Institute (ACI),North West,Nkwen,ELIGIBLE,,NO_MATCH,ready,true,0,false,aucun mot significatif commun avec une cible.
f4705c18-d713-4e74-abc4-b2636d918109,Bamenda University Institute of Science and Technology (BUIST),Nord-Ouest,Bamenda (Mile 3 Nkwen),ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
23f8537b-bf0d-44ca-8569-e043464cb8c5,Baptist Institute of Higher Learning,Nord-Ouest,Bamenda,ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
cf0cc340-6e85-4a1c-8ac4-fb75876d88c6,Capitol Higher Institute of Health Sciences and Beauty Therapy,Nord-Ouest,Bamenda (Mile 3 Nkwen),ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
05440cf1-8ad6-4a6b-b530-c644e882d2dc,Catholic University Institute of Bamenda,Nord-Ouest,,ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
33030456-77a2-4ad6-bcaa-eeca225e1546,Central Higher Institute (CHI),Nord-Ouest,Bamenda,ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
e64bec3d-a5ad-4744-9808-0598e46d20c0,Christian University Institute,Nord-Ouest,Mbatu,ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
9be315b4-b2d4-4c89-a45a-75ac9b0f55af,Continental University Institute of science and Technology (CUIST),North West Region,Upper Melim Kumbo,ELIGIBLE,,NO_MATCH,ready,true,0,false,aucun mot significatif commun avec une cible.
ebdd0ac9-833a-4aab-a386-c97da52543ec,Experiental Higher Institute of Science and Technology (EXHIST),CENTRE/ NORTH WEST(Annexe),"Entre collège Ebanda, Biyem-Assi, Yaoundé / Below Linguistic Centre, Old Town Bamenda (Annexe)",ELIGIBLE,,NO_MATCH,ready,true,0,false,aucun mot significatif commun avec une cible.
88dd575f-5dfe-4578-9fdb-92c8c7b27577,Florence Nigtingale Higher Institute of Health and Biomedical Sciences,Nord-Ouest,,SOURCE_REVIEW,,NO_MATCH,normalized,true,0,false,aucun mot significatif commun avec une cible.
f8eda3ef-c0d1-4582-a832-df528171a2fd,Fonab Polytechnic,Nord-Ouest,(Mile 3 Nkwen),ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
56e97176-8e27-44ba-b5f1-1d2e6f22dee5,Havard Higher Institute of Science and Technology,Nord-Ouest,Up station,ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
94b3607e-5354-4e8b-bb61-1da9ecf8ff23,Higher Institute for Business and management Sciences,Nord-Ouest,Bamenda (Mbatu),ELIGIBLE,,NO_MATCH,ready,true,2,false,aucun mot significatif commun avec une cible.
