staging_id,name,identifier_type,identifier,status
f4705c18-d713-4e74-abc4-b2636d918109,Bamenda University Institute of Science and Technology (BUIST),CREATION_ORDER,N°05/0083/MINESUP ; N°05/0084/MINESUP ;  N°05/0085/MINESUP ;  N°05/0086/MINESUP du 07 septembre 2005,SAFE_NEW
f4705c18-d713-4e74-abc4-b2636d918109,Bamenda University Institute of Science and Technology (BUIST),OPENING_AUTHORIZATION,N°05/0088/MINESUP ; N°05/0089/MINESUP ; N°05/0092/MINESUP ;  N°05/0093/MINESUP ;  du 07 septembre 2005.,SAFE_NEW
23f8537b-bf0d-44ca-8569-e043464cb8c5,Baptist Institute of Higher Learning,CREATION_ORDER,19-043372/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 avril 2019,SAFE_NEW
23f8537b-bf0d-44ca-8569-e043464cb8c5,Baptist Institute of Higher Learning,OPENING_AUTHORIZATION,19-043372/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 avril 2019,SAFE_NEW
cf0cc340-6e85-4a1c-8ac4-fb75876d88c6,Capitol Higher Institute of Health Sciences and Beauty Therapy,CREATION_ORDER,N°05/0078/MINESUP du  07 septembre 2005,SAFE_NEW
cf0cc340-6e85-4a1c-8ac4-fb75876d88c6,Capitol Higher Institute of Health Sciences and Beauty Therapy,OPENING_AUTHORIZATION,N°13/0052/MINESUP du  09 janvier 2013,SAFE_NEW
05440cf1-8ad6-4a6b-b530-c644e882d2dc,Catholic University Institute of Bamenda,CREATION_ORDER,N°12/00359/MINESUP  du 06 août 2012,SAFE_NEW
05440cf1-8ad6-4a6b-b530-c644e882d2dc,Catholic University Institute of Bamenda,OPENING_AUTHORIZATION,N°11/0047/MINESUP du 12 janvier 2011,SAFE_NEW
33030456-77a2-4ad6-bcaa-eeca225e1546,Central Higher Institute (CHI),CREATION_ORDER,N°16-10075/L/MINESUP/SG/DDES/ESUP/SDA/OASB du 05 septembre 2016,SAFE_NEW
33030456-77a2-4ad6-bcaa-eeca225e1546,Central Higher Institute (CHI),OPENING_AUTHORIZATION,N°16-10075/L/MINESUP/SG/DDES/ESUP/SDA/OASB du 05 septembre 2016,SAFE_NEW
e64bec3d-a5ad-4744-9808-0598e46d20c0,Christian University Institute,CREATION_ORDER,N°07/0143/MINUP du 21 septembre 2007,SAFE_NEW
e64bec3d-a5ad-4744-9808-0598e46d20c0,Christian University Institute,OPENING_AUTHORIZATION,N°12/0396/MINESUP du 17 août 2012,SAFE_NEW
f8eda3ef-c0d1-4582-a832-df528171a2fd,Fonab Polytechnic,CREATION_ORDER,N°02/0051/MINESUP du,SAFE_NEW
