region,source_count,unique,already_live,already_staging,new_clean_approvable,duplicate_review,identity_review,source_review,identifier_collision_review,entity_model_review,invalid,clean_approvable_cumulative_staged
Région de l’Adamaoua,10,10,0,4,0,6,0,0,0,0,0,4
Région du Centre,100,100,1,18,0,69,0,12,0,0,0,18
Région de l’EST,5,5,0,1,0,4,0,0,0,0,0,1
Région de l’Extrême de Nord,5,5,0,0,0,5,0,0,0,0,0,0
Région du Littoral,74,74,0,20,0,53,0,1,0,0,0,20
Région du Nord,5,5,0,2,0,3,0,0,0,0,0,0
Région Nord-Ouest,31,31,29,2,0,0,0,0,0,0,0,0
Région de l’Ouest,26,26,0,3,0,17,0,6,0,0,0,3
Région du Sud,7,7,0,0,0,6,0,1,0,0,0,0
Région du Sud-ouest,41,41,0,14,0,27,0,0,0,0,0,14
Universités d'Etat (nav),11,11,0,0,0,0,0,0,0,0,11,0
