name,region_section,normalized_region,city,decision,match_type,matched_target_id,has_detail_page,identifier_count,pii_safe
"Institut Supérieur des Sciences, de Technologie, de Management et Développement Durable (ISSTMADD)",Région de l’Adamaoua,Adamaoua,,DUPLICATE_REVIEW,PROBABLE_MATCH,3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,true,0,false
Sanda Institut Supérieur de Management (SISMA),Région de l’Adamaoua,Adamaoua,,DUPLICATE_REVIEW,AMBIGUOUS,,true,2,false
Institut d’Emergence de la Santé et des Sciences Biomédicales de Ngaoundéré ( INESSBIN),Région de l’Adamaoua,De l’Adamaoua,,DUPLICATE_REVIEW,AMBIGUOUS,,false,0,true
Institut Supérieur Yérima    Dewa,Région de l’Adamaoua,Nord,Galbidjie,ALREADY_STAGING,EXACT_IDENTITY,staging:2a1726f8-d206-432a-bbf8-5e36bfd05cc6,true,2,false
Institut Supérieur Fondation Mamadou Bako,Région de l’Adamaoua,Nord,,ALREADY_STAGING,EXACT_IDENTITY,staging:6f7c1286-c274-4a2b-9309-0f225b8c7526,true,2,false
Institut Supérieur du Septentrion Informatique,Région de l’Adamaoua,Nord,,ALREADY_STAGING,EXACT_IDENTITY,staging:034563dc-d15e-4bf8-8c38-403f479e6223,true,2,false
Institut Supérieur Industriel et Commercial de Garoua,Région de l’Adamaoua,Nord,,DUPLICATE_REVIEW,PROBABLE_MATCH,c9ab3adf-edda-4d95-bfd7-2cbce3a64b20,true,2,false
Institut Supérieur des Sciences et Techniques de la Santé,Région de l’Adamaoua,Nord,,DUPLICATE_REVIEW,AMBIGUOUS,,true,0,false
Kesmonds International University Institute,Région de l’Adamaoua,Adamaoua,Dang en face de la mairie de Ngaoundere 3ème,DUPLICATE_REVIEW,PROBABLE_MATCH,57cae063-bccf-4727-82ad-d3eb70259205,true,0,true
WALYA SUP,Région de l’Adamaoua,Nord,Guere,ALREADY_STAGING,EXACT_IDENTITY,staging:b6e152f1-a14b-4782-b755-d3d6eda77f81,true,0,false
Jagora University,Région du Centre,Centre,,ALREADY_STAGING,EXACT_IDENTITY,staging:be6396c7-d8c0-470b-aaf3-ac6379b0a45f,true,0,true
Cameroon Bilingual Higher Institute (CBHI),Région du Centre,Centre,&#8211;,ALREADY_STAGING,EXACT_IDENTITY,staging:918ab878-574f-4383-9733-659ff92bdca3,true,2,false
Centre International des Etudes Polytechniques d’Obala,Région du Centre,Centre,,DUPLICATE_REVIEW,AMBIGUOUS,,true,1,false
Citec Higher Institute of Technology and Management (ICTU),Région du Centre,Centre,Yaoundé &#8211; Nsimeyong,DUPLICATE_REVIEW,PROBABLE_MATCH,0b253a9f-bb04-47d9-8934-8d9f5a231ef6,true,2,false
"Comfort Higher Institute of Health, Management and Education (CHIHME)",Région du Centre,Centre,,DUPLICATE_REVIEW,AMBIGUOUS,,true,2,false
Ecole Sup Prépa,Région du Centre,Centre,Yaoundé (Nkolfoulou),ALREADY_STAGING,EXACT_IDENTITY,staging:1bae808d-159e-448d-8956-fc54c892b36a,true,2,false
Ecole Supérieure Africaine de Technologies Appliquées et de Gestion (ESATAG),Région du Centre,Centre,,DUPLICATE_REVIEW,PROBABLE_MATCH,staging:a79be0ce-d561-4a1f-8de6-c55dfe2f50cc,true,0,true
Ecole Supérieure de Commerce et de Gestion des Entreprises (SUP de CO),Région du Centre,Centre,Yaoundé (Ngousso),DUPLICATE_REVIEW,PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,true,2,false
Ecole Supérieure de Commerce et de Gestion de Yaoundé (ESCGY),Région du Centre,Centre,Yaoundé (Nkoleton),DUPLICATE_REVIEW,PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,true,2,false
Ecole Supérieure de Management et des Technologies Appliquées « ESMATA»,Région du Centre,Yaoundé,EMMANA PONT,DUPLICATE_REVIEW,PROBABLE_MATCH,staging:a79be0ce-d561-4a1f-8de6-c55dfe2f50cc,true,2,true
"Ecole Supérieure des Sciences de la Finance, de l’Assurance et des Risques de Yaoundé (ESSFAR)",Région du Centre,Centre,Yaoundé (Febe-Village),DUPLICATE_REVIEW,AMBIGUOUS,,true,2,false
