region,filiere_raw,program_normalized,raw_school_name,source_line
Adamaoua,ANALYSES MEDICALES,Analyses Médicales,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD,16
Adamaoua,ANALYSES MEDICALES,Analyses Médicales,ECOLE PRIVEE DE FORMATION DES PROFESSIONNELS DE LA SANTE DE MEIGANGA,17
Adamaoua,ANALYSES MEDICALES,Analyses Médicales,INSTITUT SUPERIEUR DES SCIENCES DE LA SANTE ABBOU DE NGAOUNDERE,18
Centre,ANALYSES MEDICALES,Analyses Médicales,CENTRE DE FORMATION DES SCIENCES DE LA SANTE DE LA CROIX ROUGE CAMEROUNAISE,19
Centre,ANALYSES MEDICALES,Analyses Médicales,CENTRE DE FORMATION DU PERSONNEL PARAMEDICAL (CFPP) DE YAOUNDE,20
Centre,ANALYSES MEDICALES,Analyses Médicales,CENTRE SPECIALISE DES TECHNIQUES D'ANALYSES MEDICALES (CESTAM) DE YAOUNDE,21
Centre,ANALYSES MEDICALES,Analyses Médicales,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,22
Centre,ANALYSES MEDICALES,Analyses Médicales,ECOLE DES SCIENCES DE LA SANTE � LE PHENIX � DE SOA,23
Centre,ANALYSES MEDICALES,Analyses Médicales,ECOLE DES SCIENCES DE LA SANTE DE NDIKINIMEKI,24
Centre,ANALYSES MEDICALES,Analyses Médicales,ECOLE DES SCIENCES DE LA SANTE ET D'APPLICATION � LUMIERE� DE MBALMAYO,25
Centre,ANALYSES MEDICALES,Analyses Médicales,ECOLE DES SCIENCES MEDICALES ET D'APPLICATION MARIE ZAMBO DE MFOU,26
Centre,ANALYSES MEDICALES,Analyses Médicales,ECOLE DES TECHNICIENS MEDICO-SANITAIRES DE YAOUNDE,27
Centre,ANALYSES MEDICALES,Analyses Médicales,"ECOLE PRIVEE ""FONDATION VIRGINIA HENDERSON"" DE YAOUNDE",28
Centre,ANALYSES MEDICALES,Analyses Médicales,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE LA SANTE HOSANNA DE MAKAK,29
Centre,ANALYSES MEDICALES,Analyses Médicales,"ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE ""MBIDA VALERIEN"" D'OBALA",30
