id,region,display_name,program_count,programs_normalized,merged_row_count,source_lines
24c92bc3f3e749d6,Adamaoua,COMPLEXE PRIVE FONDATION LA SAHELIENNE DE NGAOUNDERE,1,Infirmiers,1,202
065378be09b344e6,Adamaoua,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD,2,Analyses Médicales | Infirmiers,2,16 | 203
81664c18d766e39d,Adamaoua,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD (NGAOUNDERE),1,Sages-femmes/Maïeuticiens,1,512
22c4602142c3cd29,Adamaoua,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE NGAOUNDERE,1,Infirmiers,1,204
623277ef29b10dfc,Adamaoua,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE LA SANTE DE MEIGANGA,1,Sages-femmes/Maïeuticiens,1,510
86e2b2e89126cfa1,Adamaoua,ECOLE PRIVEE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES DE NGAOUNDERE,2,Infirmiers | Sages-femmes/Maïeuticiens,2,205 | 511
a58808cf346b4df0,Adamaoua,ECOLE PRIVEE DE FORMATION DES PROFESSIONNELS DE LA SANTE DE MEIGANGA,3,Analyses Médicales | Infirmiers | Odontostomatologie,3,17 | 206 | 445
3cd856735fa4862c,Adamaoua,ECOLE PRIVEE DE FORMATION DU PERSONNEL PARAMEDICAL AREWA DE BANYO,2,Infirmiers | Sages-femmes/Maïeuticiens,2,207 | 509
b45abcdb696bff36,Adamaoua,ECOLE PRIVEE DE FORMATION EN SANTE � FONDATION DJOULDE LAMBA SAMUEL� DE MBE,1,Infirmiers,1,208
88fcb343359eccb4,Adamaoua,INSTITUT SUPERIEUR DES SCIENCES DE LA SANTE ABBOU DE NGAOUNDERE,1,Analyses Médicales,1,18
27dcd7763cd8e6e5,Centre,ACADEMIE SUPERIEURE DES SCIENCES DE LA SANTE (NURSING ACADEMY) DE YAOUNDE,1,Infirmiers,1,209
b432d5771f1170ea,Centre,CENTRE DE FORMATION DES SCIENCES DE LA SANTE DE LA CROIX ROUGE CAMEROUNAISE,2,Analyses Médicales | Infirmiers,2,19 | 210
fa5766a3220992c5,Centre,CENTRE DE FORMATION DU PERSONNEL PARAMEDICAL (CFPP) DE YAOUNDE,1,Analyses Médicales,1,20
505559aed81631b1,Centre,CENTRE SPECIALISE DES TECHNIQUES D'ANALYSES MEDICALES (CESTAM) DE YAOUNDE,1,Analyses Médicales,1,21
