staging_id,name,paired_with,paired_type,evidence,decision,canonical_staging_id,new_classification,reason,official_source_used
2c29d228-e387-4db1-a855-7425c05e6a96,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,265476d2-d4fe-4e6d-adc7-39cabdc01fa8 | 9c4b9a28-1aa2-4fc2-baa8-48d3919758f7,"AMBIGUOUS (50% overlap x2, minsante-b-dedup-review.csv)","§5 tier 8 : famille fondatrice distinctive ""Jeugeuvou Fowang"" jamais partagée avec ""Saint Maurice"" (265476d2) ni ""Tchuente"" (9c4b9a28) — noms de fondateur/patron totalement différents malgré le gabarit commun ""École Privée Fondation X De Bafoussam"". Établissement distinct des deux partenaires de paire.",CONFIRMED_DISTINCT,,CATEGORY_REVIEW,"§15/17 — blocage de doublon levé (CONFIRMED_DISTINCT) : §5 tier 8 : famille fondatrice distinctive ""Jeugeuvou Fowang"" jamais partagée avec ""Saint Maurice"" (265476d2) ni ""Tchuente"" (9c4b9a28) — noms de fondateur/patron totalement différents malgré le gabarit commun ""École Privée Fondation X De Bafoussam"". Établissement distinct des deux partenaires de paire. Catégorie NON résolue -> CATEGORY_REVIEW (jamais CLEAN_APPROVABLE sans preuve de catégorie).","Aucune (résolu sur §5 tier 8, tokens de nom distinctifs)."
265476d2-d4fe-4e6d-adc7-39cabdc01fa8,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,5f99f3be-fd64-4d9a-a8fd-709d9e4f0821 | 2c29d228-e387-4db1-a855-7425c05e6a96 | 9c4b9a28-1aa2-4fc2-baa8-48d3919758f7,"AMBIGUOUS (50% overlap x3, minsante-b-dedup-review.csv)","§5 tier 8 : patronage/fondateur distinctif ""Fondation ... Saint Maurice"" jamais partagé avec ""Saint Joseph"" (5f99f3be, patronage Joseph ≠ Maurice), ""Jeugeuvou Fowang"" (2c29d228, famille fondatrice différente), ni ""Tchuente"" (9c4b9a28, famille fondatrice différente). Chevauchement des trois paires exclusivement sur du vocabulaire générique interdit (école/privée/formation/personnels/de/la/santé/fondation seul sans le nom propre qui suit). Établissement distinct des trois partenaires de paire.",CONFIRMED_DISTINCT,,CATEGORY_REVIEW,"§15/17 — blocage de doublon levé (CONFIRMED_DISTINCT) : §5 tier 8 : patronage/fondateur distinctif ""Fondation ... Saint Maurice"" jamais partagé avec ""Saint Joseph"" (5f99f3be, patronage Joseph ≠ Maurice), ""Jeugeuvou Fowang"" (2c29d228, famille fondatrice différente), ni ""Tchuente"" (9c4b9a28, famille fondatrice différente). Chevauchement des trois paires exclusivement sur du vocabulaire générique interdit (école/privée/formation/personnels/de/la/santé/fondation seul sans le nom propre qui suit). Établissement distinct des trois partenaires de paire. Catégorie NON résolue -> CATEGORY_REVIEW (jamais CLEAN_APPROVABLE sans preuve de catégorie).","Aucune (résolu sur §5 tier 8, tokens de nom distinctifs)."
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,ba827d94-6542-40fd-b811-a0d964a8bceb,"AMBIGUOUS (75% overlap, minsante-b-dedup-review.csv)","§7 contradiction géographique explicite (exemple canonique de la règle §7) : Bafoussam (ce candidat) ≠ Foumban (ba827d94), communes différentes de la région Ouest, AUCUNE preuve multi-campus disponible. Le chevauchement de 75% porte sur le gabarit officiel partagé ""École des Infirmiers Diplômés d'État de X"" (désignation de diplôme d'État reconnue, cf. Décret 80/198) — le nom du gabarit lui-même identifie la commune comme le SEUL élément distinctif, et les deux communes diffèrent explicitement. Établissement distinct.",CONFIRMED_DISTINCT,,CLEAN_APPROVABLE,"§15/17 — blocage de doublon levé (CONFIRMED_DISTINCT) : §7 contradiction géographique explicite (exemple canonique de la règle §7) : Bafoussam (ce candidat) ≠ Foumban (ba827d94), communes différentes de la région Ouest, AUCUNE preuve multi-campus disponible. Le chevauchement de 75% porte sur le gabarit officiel partagé ""École des Infirmiers Diplômés d'État de X"" (désignation de diplôme d'État reconnue, cf. Décret 80/198) — le nom du gabarit lui-même identifie la commune comme le SEUL élément distinctif, et les deux communes diffèrent explicitement. Établissement distinct. Catégorie résolue (AUTRES_CONFIRMED) : Titre officiel MINSANTE contient la désignation explicite du diplôme d'État ""Infirmier(s) Diplômé(s) d'État"" — diplôme de cycle B (Décret 80/198), formation non-supérieure reconnue, auto-déclarée dans le nom officiel lui-même (même standard de preuve que la Règle 1, appliqué symétriquement, hérité identique de MINSANTE-C). Aucun signal live/staging non-pilote, aucun signal frontière inter-ministérielle.",Aucune (résolu sur §7 contradiction géographique — cas explicitement anticipé par le brief).
7517d1df-be2c-4b4e-bb15-fc4548735739,ECOLE DES METIERS DE LA SANTE DE BAMOUGOUM,276633af-df10-4d1e-b91e-596c7a50ed34,"LIKELY_SAME_SCHOOL (67% overlap, minsante-b-dedup-review.csv)","§6 modèle école×programme : les DEUX candidats partagent la totalité de leurs tokens distinctifs (École/Métiers/Santé/Bamougoum, même commune — accord de géographie, pas de contradiction) ; la SEULE différence est l'insertion du token ""EMES"" dans l'autre candidat, qui décode littéralement les mêmes mots déjà présents (École des Métiers de la Santé = E.M.E.S. — acronyme auto-référentiel, jamais un token distinctif indépendant). Programmes COMPLÉMENTAIRES et non chevauchants (ce candidat : Analyses Médicales, Infirmiers ; l'autre : Sages-femmes/Maïeuticiens) — cohérent avec le modèle §6 ""une école peut apparaître sous plusieurs filières"" plutôt que deux écoles distinctes coïncidant sur un nom quasi-identique dans la même petite localité. Recherche ciblée externe tentée (voir official_source_used) : un résultat de recherche web a évoqué une décision MINSANTE N°2938/D/MINSANTE du 13/07/2023 ouvrant ""l'École des Métiers de la Santé (EMES) de Bamougoum"" (nom unique avec acronyme entre parenthèses), mais le document primaire cité (PDF minsante.cm) s'est révélé être une image scannée sans couche de texte exploitable — IMPOSSIBLE à vérifier directement, donc PAS retenu comme preuve décisive (§11 : seule une preuve vérifiée compte), seulement mentionné comme corroboration non confirmée. La décision CONFIRMED_SAME_ESTABLISHMENT repose sur la preuve INTERNE §6 (identité de tokens + complémentarité de programmes + même commune), pas sur la recherche externe non vérifiable.",CONFIRMED_SAME_ESTABLISHMENT,7517d1df-be2c-4b4e-bb15-fc4548735739,CATEGORY_REVIEW,"§15/17 — blocage de doublon levé (CONFIRMED_SAME_ESTABLISHMENT) : §6 modèle école×programme : les DEUX candidats partagent la totalité de leurs tokens distinctifs (École/Métiers/Santé/Bamougoum, même commune — accord de géographie, pas de contradiction) ; la SEULE différence est l'insertion du token ""EMES"" dans l'autre candidat, qui décode littéralement les mêmes mots déjà présents (École des Métiers de la Santé = E.M.E.S. — acronyme auto-référentiel, jamais un token distinctif indépendant). Programmes COMPLÉMENTAIRES et non chevauchants (ce candidat : Analyses Médicales, Infirmiers ; l'autre : Sages-femmes/Maïeuticiens) — cohérent avec le modèle §6 ""une école peut apparaître sous plusieurs filières"" plutôt que deux écoles distinctes coïncidant sur un nom quasi-identique dans la même petite localité. Recherche ciblée externe tentée (voir official_source_used) : un résultat de recherche web a évoqué une décision MINSANTE N°2938/D/MINSANTE du 13/07/2023 ouvrant ""l'École des Métiers de la Santé (EMES) de Bamougoum"" (nom unique avec acronyme entre parenthèses), mais le document primaire cité (PDF minsante.cm) s'est révélé être une image scannée sans couche de texte exploitable — IMPOSSIBLE à vérifier directement, donc PAS retenu comme preuve décisive (§11 : seule une preuve vérifiée compte), seulement mentionné comme corroboration non confirmée. La décision CONFIRMED_SAME_ESTABLISHMENT repose sur la preuve INTERNE §6 (identité de tokens + complémentarité de programmes + même commune), pas sur la recherche externe non vérifiable. Catégorie NON résolue -> CATEGORY_REVIEW (jamais CLEAN_APPROVABLE sans preuve de catégorie).","Recherche web ciblée tentée (requête ""Ecole des Métiers de la Santé Bamougoum EMES"") — résultat évoquant décision N°2938/D/MINSANTE du 13/07/2023, mais source primaire (PDF minsante.cm/PERMUTATIONS 2023) image scannée sans texte extractible, NON vérifiable directement — non retenue comme preuve décisive, décision fondée sur §6 (preuve interne)."
ba827d94-6542-40fd-b811-a0d964a8bceb,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE FOUMBAN,109f38dc-ff92-4fb9-9028-f2f1fb065042,"AMBIGUOUS (75% overlap, minsante-b-dedup-review.csv)","Symétrique à 109f38dc-ff92-4fb9-9028-f2f1fb065042 (voir évidence détaillée sur ce candidat) — Foumban ≠ Bafoussam, §7 contradiction géographique explicite.",CONFIRMED_DISTINCT,,CLEAN_APPROVABLE,"§15/17 — blocage de doublon levé (CONFIRMED_DISTINCT) : Symétrique à 109f38dc-ff92-4fb9-9028-f2f1fb065042 (voir évidence détaillée sur ce candidat) — Foumban ≠ Bafoussam, §7 contradiction géographique explicite. Catégorie résolue (AUTRES_CONFIRMED) : Titre officiel MINSANTE contient la désignation explicite du diplôme d'État ""Infirmier(s) Diplômé(s) d'État"" — diplôme de cycle B (Décret 80/198), formation non-supérieure reconnue, auto-déclarée dans le nom officiel lui-même (même standard de preuve que la Règle 1, appliqué symétriquement, hérité identique de MINSANTE-C). Aucun signal live/staging non-pilote, aucun signal frontière inter-ministérielle.",Aucune (résolu sur §7 contradiction géographique).
276633af-df10-4d1e-b91e-596c7a50ed34,ECOLE DES METIERS DE LA SANTE EMES DE BAMOUGOUM,7517d1df-be2c-4b4e-bb15-fc4548735739,"LIKELY_SAME_SCHOOL (67% overlap, minsante-b-dedup-review.csv)","Même établissement que 7517d1df-be2c-4b4e-bb15-fc4548735739 (voir évidence détaillée sur ce candidat). §14 — préférence canonique appliquée : source identique (égalité) ; NOMBRE DE PROGRAMMES départage (7517d1df : 2 programmes [Analyses Médicales, Infirmiers] > ce candidat : 1 programme [Sages-femmes/Maïeuticiens]) -> 7517d1df choisi CANONIQUE, ce candidat reste le DOUBLON documenté (non supprimé physiquement, §14).",CONFIRMED_SAME_ESTABLISHMENT,7517d1df-be2c-4b4e-bb15-fc4548735739,DUPLICATE_REVIEW,"§14 — CONFIRMED_SAME_ESTABLISHMENT (doublon non-canonique) : Même établissement que 7517d1df-be2c-4b4e-bb15-fc4548735739 (voir évidence détaillée sur ce candidat). §14 — préférence canonique appliquée : source identique (égalité) ; NOMBRE DE PROGRAMMES départage (7517d1df : 2 programmes [Analyses Médicales, Infirmiers] > ce candidat : 1 programme [Sages-femmes/Maïeuticiens]) -> 7517d1df choisi CANONIQUE, ce candidat reste le DOUBLON documenté (non supprimé physiquement, §14). Canonique retenu : 7517d1df-be2c-4b4e-bb15-fc4548735739. Classification conservée DUPLICATE_REVIEW (jamais promouvable indépendamment) — jamais supprimé physiquement.",Voir official_source_used du candidat canonique 7517d1df-be2c-4b4e-bb15-fc4548735739.
5f99f3be-fd64-4d9a-a8fd-709d9e4f0821,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",bbf4f625-3574-4bfa-b17a-278282b3bb6f | 265476d2-d4fe-4e6d-adc7-39cabdc01fa8,"AMBIGUOUS (50% overlap x2, minsante-b-dedup-review.csv)","§5 tier 8 (tokens de nom distinctifs) : le chevauchement de 50% avec chacun des deux partenaires de paire porte EXCLUSIVEMENT sur du vocabulaire générique interdit comme preuve d'identité (formation/personnels/sanitaires/santé/de/la), jamais sur le token distinctif réel ""Saint Joseph"" (patronage religieux spécifique), absent des deux autres candidats (""Sciences et Techniques Médico-Sanitaires"" — dénomination descriptive sans patronage ; ""Fondation ... Saint Maurice"" — patronage différent, Maurice ≠ Joseph). Aucune preuve de rang supérieur (1-7) disponible. Tokens distinctifs propres et non partagés dans les deux paires -> établissements distincts.",CONFIRMED_DISTINCT,,CATEGORY_REVIEW,"§15/17 — blocage de doublon levé (CONFIRMED_DISTINCT) : §5 tier 8 (tokens de nom distinctifs) : le chevauchement de 50% avec chacun des deux partenaires de paire porte EXCLUSIVEMENT sur du vocabulaire générique interdit comme preuve d'identité (formation/personnels/sanitaires/santé/de/la), jamais sur le token distinctif réel ""Saint Joseph"" (patronage religieux spécifique), absent des deux autres candidats (""Sciences et Techniques Médico-Sanitaires"" — dénomination descriptive sans patronage ; ""Fondation ... Saint Maurice"" — patronage différent, Maurice ≠ Joseph). Aucune preuve de rang supérieur (1-7) disponible. Tokens distinctifs propres et non partagés dans les deux paires -> établissements distincts. Catégorie NON résolue -> CATEGORY_REVIEW (jamais CLEAN_APPROVABLE sans preuve de catégorie).","Aucune (résolu sur §5 tier 8, tokens de nom distinctifs — aucune recherche externe nécessaire)."
9c4b9a28-1aa2-4fc2-baa8-48d3919758f7,ECOLE PRIVEE FONDATION TCHUENTE DE BAFOUSSAM,2c29d228-e387-4db1-a855-7425c05e6a96 | 265476d2-d4fe-4e6d-adc7-39cabdc01fa8,"AMBIGUOUS (50% overlap x2, minsante-b-dedup-review.csv)","§5 tier 8 : famille fondatrice distinctive ""Tchuente"" jamais partagée avec ""Jeugeuvou Fowang"" (2c29d228) ni ""Saint Maurice"" (265476d2). Établissement distinct des deux partenaires de paire.",CONFIRMED_DISTINCT,,CATEGORY_REVIEW,"§15/17 — blocage de doublon levé (CONFIRMED_DISTINCT) : §5 tier 8 : famille fondatrice distinctive ""Tchuente"" jamais partagée avec ""Jeugeuvou Fowang"" (2c29d228) ni ""Saint Maurice"" (265476d2). Établissement distinct des deux partenaires de paire. Catégorie NON résolue -> CATEGORY_REVIEW (jamais CLEAN_APPROVABLE sans preuve de catégorie).","Aucune (résolu sur §5 tier 8, tokens de nom distinctifs)."
f56097c9-ac2a-4bae-95af-2838aed0033f,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,bbf4f625-3574-4bfa-b17a-278282b3bb6f,"AMBIGUOUS (50% overlap, minsante-b-dedup-review.csv)","§5 tier 8 : marque distinctive ""Poola"" absente de ""Institut des Sciences et Techniques Médico-Sanitaires"" (bbf4f625), et réciproquement rien de ""Sciences et Techniques Médico-Sanitaires"" (élaboration générique, sans marque propre) ne recoupe ""Poola"". Chevauchement limité au gabarit générique ""Institut des Sciences ... de Bafoussam"". Établissement distinct.",CONFIRMED_DISTINCT,,CATEGORY_REVIEW,"§15/17 — blocage de doublon levé (CONFIRMED_DISTINCT) : §5 tier 8 : marque distinctive ""Poola"" absente de ""Institut des Sciences et Techniques Médico-Sanitaires"" (bbf4f625), et réciproquement rien de ""Sciences et Techniques Médico-Sanitaires"" (élaboration générique, sans marque propre) ne recoupe ""Poola"". Chevauchement limité au gabarit générique ""Institut des Sciences ... de Bafoussam"". Établissement distinct. Catégorie NON résolue -> CATEGORY_REVIEW (jamais CLEAN_APPROVABLE sans preuve de catégorie).","Aucune (résolu sur §5 tier 8, tokens de nom distinctifs)."
bbf4f625-3574-4bfa-b17a-278282b3bb6f,INSTITUT DES SCIENCES ET TECHNIQUES MEDICO-SANITAIRES DE BAFOUSSAM,5f99f3be-fd64-4d9a-a8fd-709d9e4f0821 | f56097c9-ac2a-4bae-95af-2838aed0033f | 500e77b8-68a9-4e4f-8e0f-032890ff8520,"AMBIGUOUS (50% overlap x3, minsante-b-dedup-review.csv)","§5 tier 8 : chevauchement générique uniquement avec ""Saint Joseph"" (5f99f3be) et ""Poola"" (f56097c9) — tokens distinctifs propres à chacun, jamais partagés. Avec 500e77b8 (Les Argus, Bandjoun) : en PLUS du tier 8, §7 contradiction géographique explicite — Bafoussam (ce candidat) ≠ Bandjoun (500e77b8), communes différentes, aucune preuve multi-campus -> signal négatif fort supplémentaire. Établissement distinct des trois partenaires de paire.",CONFIRMED_DISTINCT,,CATEGORY_REVIEW,"§15/17 — blocage de doublon levé (CONFIRMED_DISTINCT) : §5 tier 8 : chevauchement générique uniquement avec ""Saint Joseph"" (5f99f3be) et ""Poola"" (f56097c9) — tokens distinctifs propres à chacun, jamais partagés. Avec 500e77b8 (Les Argus, Bandjoun) : en PLUS du tier 8, §7 contradiction géographique explicite — Bafoussam (ce candidat) ≠ Bandjoun (500e77b8), communes différentes, aucune preuve multi-campus -> signal négatif fort supplémentaire. Établissement distinct des trois partenaires de paire. Catégorie NON résolue -> CATEGORY_REVIEW (jamais CLEAN_APPROVABLE sans preuve de catégorie).",Aucune (résolu sur §5 tier 8 + §7 contradiction géographique pour la paire avec 500e77b8).
