minsante_staging_id,minsante_name,minsante_region,possible_minesup_establishment_id,minesup_name,match_type,evidence,decision,reason
2c29d228-e387-4db1-a855-7425c05e6a96,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,Ouest,e4b6e83d-5e30-464f-889a-b217f12b462e,Institut Supérieur Fondation Mamadou Bako,PROBABLE_MATCH,"chevauchement de mots (25%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise.",DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
265476d2-d4fe-4e6d-adc7-39cabdc01fa8,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,Ouest,,,AMBIGUOUS,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
7517d1df-be2c-4b4e-bb15-fc4548735739,ECOLE DES METIERS DE LA SANTE DE BAMOUGOUM,Ouest,037c7154-803b-4a5a-91a0-9a2225ec4e79,Institut Supérieur des Métiers (ISMET),PROBABLE_MATCH,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise.",DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
68c3cd5b-de66-4f3c-9c3c-fdbdaad7f54c,COMPLEXE DE FORMATION DES PERSONNELS DE SANTE � ROIS MAGES � COFPSAROMA DE BALENG,Ouest,,,NO_MATCH,aucun mot significatif commun avec une cible.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
3c04b5c8-4a6d-4ad8-b625-bda87186c800,COMPLEXE PRIVE DE FORMATION DU PERSONNEL DE LA SANTE DE MBOUO BANDJOUN,Ouest,,,NO_MATCH,aucun mot significatif commun avec une cible.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
8bf90bbd-3520-4f16-8cd7-e708892473bd,COMPLEXE PRIVE DE FORMATION DU PERSONNEL MEDICO-SANITAIRE DE MBOUDA,Ouest,,,NO_MATCH,aucun mot significatif commun avec une cible.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
92c96f6f-bf11-4de7-b9cf-44f2be0564b4,ECOLE DES PROFESSIONNELS DE LA SANTE LES ETOILES DE BAFOUSSAM,Ouest,,,NO_MATCH,aucun mot significatif commun avec une cible.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
5f99f3be-fd64-4d9a-a8fd-709d9e4f0821,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",Ouest,,,AMBIGUOUS,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
0e0202b8-3175-4db9-890d-0294057239a1,ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE DE BAFOUSSAM,Ouest,,,NO_MATCH,aucun mot significatif commun avec une cible.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
27a2a636-eced-4971-8f62-67d8d1028ab3,"INSTITUT TROPICAL DE FORMATION EN PLAIES CHRONIQUES ET EN SOINS INFIRMIERS ""MOULLEC"" DE BALEVENG",Ouest,,,NO_MATCH,aucun mot significatif commun avec une cible.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
a2f1cf0b-520e-42b1-bb84-81a20f9de8a3,INSTITUT INTERNATIONAL DE FORMATION DE PERSONNELS PARAMEDICAUX IFOPP DE FOUMBOT,Ouest,57cae063-bccf-4727-82ad-d3eb70259205,International University of Bamenda,PROBABLE_MATCH,"chevauchement de mots (25%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise.",DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
f56097c9-ac2a-4bae-95af-2838aed0033f,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,Ouest,,,AMBIGUOUS,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
9c4b9a28-1aa2-4fc2-baa8-48d3919758f7,ECOLE PRIVEE FONDATION TCHUENTE DE BAFOUSSAM,Ouest,e4b6e83d-5e30-464f-889a-b217f12b462e,Institut Supérieur Fondation Mamadou Bako,PROBABLE_MATCH,"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise.",DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
bbf4f625-3574-4bfa-b17a-278282b3bb6f,INSTITUT DES SCIENCES ET TECHNIQUES MEDICO-SANITAIRES DE BAFOUSSAM,Ouest,,,AMBIGUOUS,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
500e77b8-68a9-4e4f-8e0f-032890ff8520,INSTITUT DES SCIENCES MEDICO-SANITAIRES LES ARGUS DE BANDJOUN,Ouest,,,AMBIGUOUS,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.,DISTINCT,Aucune action requise — engine confirme une institution distincte du registre MINESUP consulté ce sprint.
