staging_id,name_raw,region,previous_classification,category_evidence_type,new_category_decision,cross_ministry_decision,new_classification,reason
2c29d228-e387-4db1-a855-7425c05e6a96,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
265476d2-d4fe-4e6d-adc7-39cabdc01fa8,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
7517d1df-be2c-4b4e-bb15-fc4548735739,ECOLE DES METIERS DE LA SANTE DE BAMOUGOUM,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
68c3cd5b-de66-4f3c-9c3c-fdbdaad7f54c,COMPLEXE DE FORMATION DES PERSONNELS DE SANTE � ROIS MAGES � COFPSAROMA DE BALENG,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
3c04b5c8-4a6d-4ad8-b625-bda87186c800,COMPLEXE PRIVE DE FORMATION DU PERSONNEL DE LA SANTE DE MBOUO BANDJOUN,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
8bf90bbd-3520-4f16-8cd7-e708892473bd,COMPLEXE PRIVE DE FORMATION DU PERSONNEL MEDICO-SANITAIRE DE MBOUDA,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
92c96f6f-bf11-4de7-b9cf-44f2be0564b4,ECOLE DES PROFESSIONNELS DE LA SANTE LES ETOILES DE BAFOUSSAM,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
5f99f3be-fd64-4d9a-a8fd-709d9e4f0821,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
0e0202b8-3175-4db9-890d-0294057239a1,ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE DE BAFOUSSAM,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
27a2a636-eced-4971-8f62-67d8d1028ab3,"INSTITUT TROPICAL DE FORMATION EN PLAIES CHRONIQUES ET EN SOINS INFIRMIERS ""MOULLEC"" DE BALEVENG",Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, aucune corroboration officielle externe vérifiable trouvée par la recherche ciblée MINSANTE-E (voir RESEARCH_NOTES). CATEGORY_REVIEW maintenu — §13 : jamais une catégorie devinée par popularité, branding, ou apparence du nom."
