establishment_or_candidate,authority,identifier_type,identifier_value,source,already_present,proposed_action,confidence
d9498d3a-e88f-465b-b6b6-14873460da2f,MINESUP,CREATION_ORDER,N°05/0083/MINESUP ; N°05/0084/MINESUP ;  N°05/0085/MINESUP ;  N°05/0086/MINESUP du 07 septembre 2005,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
d9498d3a-e88f-465b-b6b6-14873460da2f,MINESUP,OPENING_AUTHORIZATION,N°05/0088/MINESUP ; N°05/0089/MINESUP ; N°05/0092/MINESUP ;  N°05/0093/MINESUP ;  du 07 septembre 2005.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
400301dc-cfaf-4076-8468-566dd5efa401,MINESUP,CREATION_ORDER,19-043372/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 avril 2019,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
400301dc-cfaf-4076-8468-566dd5efa401,MINESUP,OPENING_AUTHORIZATION,19-043372/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 avril 2019,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
8a5786e1-2c4a-4340-b827-a6c286f8990d,MINESUP,CREATION_ORDER,N°05/0078/MINESUP du  07 septembre 2005,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
8a5786e1-2c4a-4340-b827-a6c286f8990d,MINESUP,OPENING_AUTHORIZATION,N°13/0052/MINESUP du  09 janvier 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
60e1c9cd-31eb-4236-a67e-664a60c74a98,MINESUP,CREATION_ORDER,N°12/00359/MINESUP  du 06 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
60e1c9cd-31eb-4236-a67e-664a60c74a98,MINESUP,OPENING_AUTHORIZATION,N°11/0047/MINESUP du 12 janvier 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
d548473d-7abf-45ad-a688-28f88067bfe6,MINESUP,CREATION_ORDER,N°16-10075/L/MINESUP/SG/DDES/ESUP/SDA/OASB du 05 septembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
d548473d-7abf-45ad-a688-28f88067bfe6,MINESUP,OPENING_AUTHORIZATION,N°16-10075/L/MINESUP/SG/DDES/ESUP/SDA/OASB du 05 septembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
f5795c8a-cef9-4b8d-870e-f6bfc9ef025b,MINESUP,CREATION_ORDER,N°07/0143/MINUP du 21 septembre 2007,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
f5795c8a-cef9-4b8d-870e-f6bfc9ef025b,MINESUP,OPENING_AUTHORIZATION,N°12/0396/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
7a653532-f62f-42b6-8795-0bae452569da,MINESUP,CREATION_ORDER,N°02/0051/MINESUP du,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
7a653532-f62f-42b6-8795-0bae452569da,MINESUP,OPENING_AUTHORIZATION,N°02/0073/MINESUP du 13/08/2002.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
68cc179b-d322-42a5-9bc3-2417f502c188,MINESUP,CREATION_ORDER,N°14/N/02628/MINESUP/SG/DDES/ESUP/SDA/MM du 22 avril 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
68cc179b-d322-42a5-9bc3-2417f502c188,MINESUP,OPENING_AUTHORIZATION,N°14/N/02628/MINESUP/SG/DDES/ESUP/SDA/MM du 22 avril 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,MINESUP,CREATION_ORDER,N°06/0050/MINESUP du 02 juin 2006,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,MINESUP,OPENING_AUTHORIZATION,N°12/0393/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
411a9767-a23e-43a2-ab72-33c0f4affad4,MINESUP,CREATION_ORDER,N°16-13298/N/MINESUP/DDES/ESUP/SDA/NJN/ebm du 08décembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
411a9767-a23e-43a2-ab72-33c0f4affad4,MINESUP,OPENING_AUTHORIZATION,N°16-13298/N/MINESUP/DDES/ESUP/SDA/NJN/ebm du 08décembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
37715786-0746-4f3b-8911-8f2fec72bad3,MINESUP,CREATION_ORDER,N°17-08144/L/MINESUP/DDES/ESUP/SDA/MM du 04 août 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
37715786-0746-4f3b-8911-8f2fec72bad3,MINESUP,OPENING_AUTHORIZATION,N°17-08144/L/MINESUP/DDES/ESUP/SDA/MM du 04 août 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
57cae063-bccf-4727-82ad-d3eb70259205,MINESUP,CREATION_ORDER,N°11/00507/MINESUP/SG/DDES du,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
57cae063-bccf-4727-82ad-d3eb70259205,MINESUP,OPENING_AUTHORIZATION,N°12/0363/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
2652a1de-e072-4b98-9830-1aefe532fc78,MINESUP,CREATION_ORDER,N°16-07755/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 19 juillet 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
2652a1de-e072-4b98-9830-1aefe532fc78,MINESUP,OPENING_AUTHORIZATION,N°16-07755/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 19 juillet 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
ed4f6502-2121-4806-b902-e6cdc79db00c,MINESUP,CREATION_ORDER,N°13/0400/MINESUP/SG/DDES of 10 septembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
ed4f6502-2121-4806-b902-e6cdc79db00c,MINESUP,OPENING_AUTHORIZATION,N°14/0395/MINESUP/SG/DDES/ du 04 juillet 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
9dce018e-1378-49fb-8c9d-6b9e170f9aad,MINESUP,CREATION_ORDER,N°17-07437/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 juillet 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
9dce018e-1378-49fb-8c9d-6b9e170f9aad,MINESUP,OPENING_AUTHORIZATION,N°17-07437/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 juillet 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
752068fd-cf3f-4415-b9df-c7227b1a79b6,MINESUP,CREATION_ORDER,N°02/0053/MINESUP du,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
752068fd-cf3f-4415-b9df-c7227b1a79b6,MINESUP,OPENING_AUTHORIZATION,N°02/0074/MINESUP du 13 août 2002 complétée par l’arrêté N°06/0059/MINESUP du 02 juin 2006,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0b253a9f-bb04-47d9-8934-8d9f5a231ef6,MINESUP,CREATION_ORDER,N°17-08215/L/MINESUP/SG/DDES/ESUP/SDA/OPC du 08 août 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0b253a9f-bb04-47d9-8934-8d9f5a231ef6,MINESUP,OPENING_AUTHORIZATION,N°17-08215/L/MINESUP/SG/DDES/ESUP/SDA/OPC du 08 août 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
28f2a08f-2ea9-4881-a1f1-b4ae23b54d39,MINESUP,CREATION_ORDER,N°15/00760/MINESUP/SG/DDES/ESUP/SDA/NJN du 30 janvier 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
28f2a08f-2ea9-4881-a1f1-b4ae23b54d39,MINESUP,OPENING_AUTHORIZATION,N°15/00760/MINESUP/SG/DDES/ESUP/SDA/NJN du 30 janvier 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
6e17ea8a-9108-4ed1-b3cb-e7ae66c3485a,MINESUP,CREATION_ORDER,N°13/0402/MINESUP/SG/DDES du 10 septembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
6e17ea8a-9108-4ed1-b3cb-e7ae66c3485a,MINESUP,OPENING_AUTHORIZATION,N°06/0056/MINESUP du 02 juin 2006.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
3479cf30-a1cc-4f75-a3e5-95a20a5f41bd,MINESUP,CREATION_ORDER,N°05/0010/MINESUP du,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
3479cf30-a1cc-4f75-a3e5-95a20a5f41bd,MINESUP,OPENING_AUTHORIZATION,"N°06/0056/MINESUP du 02 juin 2006,",establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
ae31d758-9761-48cb-9940-364ed017f7e4,MINESUP,CREATION_ORDER,N°07/0135/MINESUP du 21 septembre 2007,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
ae31d758-9761-48cb-9940-364ed017f7e4,MINESUP,OPENING_AUTHORIZATION,N°07/0144/MINESUP du 21 septembre 2007,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
