national_candidate_id,name,city,region,source_ministries,presence_confidence,identity_confidence,official_verification,publication_readiness,matching_decision,existing_establishment_id,in_fresh_final_lot,in_approved_snapshot,blocking_reasons
NAT-EST-6a1e08bd-6184-422a-b253-b91b5015f350,Acces Care Institute (ACI),Nkwen,North West,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,6a1e08bd-6184-422a-b253-b91b5015f350,false,false,
NAT-EST-d9498d3a-e88f-465b-b6b6-14873460da2f,Bamenda University Institute of Science and Technology (BUIST),Bamenda (Mile 3 Nkwen),Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,d9498d3a-e88f-465b-b6b6-14873460da2f,false,false,
NAT-EST-400301dc-cfaf-4076-8468-566dd5efa401,Baptist Institute of Higher Learning,Bamenda,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,400301dc-cfaf-4076-8468-566dd5efa401,false,false,
NAT-EST-8a5786e1-2c4a-4340-b827-a6c286f8990d,Capitol Higher Institute of Health Sciences and Beauty Therapy,Bamenda (Mile 3 Nkwen),Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,8a5786e1-2c4a-4340-b827-a6c286f8990d,false,false,
NAT-EST-60e1c9cd-31eb-4236-a67e-664a60c74a98,Catholic University Institute of Bamenda,,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,60e1c9cd-31eb-4236-a67e-664a60c74a98,false,false,
NAT-EST-d548473d-7abf-45ad-a688-28f88067bfe6,Central Higher Institute (CHI),Bamenda,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,d548473d-7abf-45ad-a688-28f88067bfe6,false,false,
NAT-EST-f5795c8a-cef9-4b8d-870e-f6bfc9ef025b,Christian University Institute,Mbatu,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,f5795c8a-cef9-4b8d-870e-f6bfc9ef025b,false,false,
NAT-EST-68fc19ff-c654-4597-9feb-ac8379ad8bab,Continental University Institute of science and Technology (CUIST),Upper Melim Kumbo,North West Region,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,68fc19ff-c654-4597-9feb-ac8379ad8bab,false,false,
NAT-EST-1b46177a-5d8c-4b26-9877-11bf4a8a8e53,Experiental Higher Institute of Science and Technology (EXHIST),"Entre collège Ebanda, Biyem-Assi, Yaoundé / Below Linguistic Centre, Old Town Bamenda (Annexe)",CENTRE/ NORTH WEST(Annexe),MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,1b46177a-5d8c-4b26-9877-11bf4a8a8e53,false,false,
NAT-EST-7a653532-f62f-42b6-8795-0bae452569da,Fonab Polytechnic,(Mile 3 Nkwen),Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,7a653532-f62f-42b6-8795-0bae452569da,false,false,
NAT-EST-68cc179b-d322-42a5-9bc3-2417f502c188,Havard Higher Institute of Science and Technology,Up station,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,68cc179b-d322-42a5-9bc3-2417f502c188,false,false,
NAT-EST-3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,Higher Institute for Business and management Sciences,Bamenda (Mbatu),Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,false,false,
NAT-EST-411a9767-a23e-43a2-ab72-33c0f4affad4,Higher Institute for Professional Development and Training (HIPDET),,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,411a9767-a23e-43a2-ab72-33c0f4affad4,false,false,
NAT-EST-37715786-0746-4f3b-8911-8f2fec72bad3,Higher Institute of Professionalism and Technology (HIPT),Kumbo,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,37715786-0746-4f3b-8911-8f2fec72bad3,false,false,
NAT-EST-57cae063-bccf-4727-82ad-d3eb70259205,International University of Bamenda,Kumbo,Nord-ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,57cae063-bccf-4727-82ad-d3eb70259205,false,false,
NAT-EST-2652a1de-e072-4b98-9830-1aefe532fc78,Jomatt Polytechnic Institute of Education,Bamenda,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,2652a1de-e072-4b98-9830-1aefe532fc78,false,false,
NAT-EST-ed4f6502-2121-4806-b902-e6cdc79db00c,Laureate Higher Institute of Business and Administration (LAHIBA),,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,ed4f6502-2121-4806-b902-e6cdc79db00c,false,false,
NAT-EST-9dce018e-1378-49fb-8c9d-6b9e170f9aad,"National Higher Institute of Business, Tourism and Hotel Management (NAHIBUTH)",Bamenda,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,9dce018e-1378-49fb-8c9d-6b9e170f9aad,false,false,
NAT-EST-752068fd-cf3f-4415-b9df-c7227b1a79b6,National Polytechnic University Institute (NPUI),,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,752068fd-cf3f-4415-b9df-c7227b1a79b6,false,false,
NAT-EST-0b253a9f-bb04-47d9-8934-8d9f5a231ef6,"Paul Nkwi Higher Institute of Management, Science, Arts and Technology (PN-HIMSAT)",Njinikom,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,0b253a9f-bb04-47d9-8934-8d9f5a231ef6,false,false,
NAT-EST-28f2a08f-2ea9-4881-a1f1-b4ae23b54d39,Pauls’s Computer Higher Institute of Technology (PC-HITECH),,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,28f2a08f-2ea9-4881-a1f1-b4ae23b54d39,false,false,
NAT-EST-6e17ea8a-9108-4ed1-b3cb-e7ae66c3485a,Pyramid Higher Institute of Professional Studies,,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,6e17ea8a-9108-4ed1-b3cb-e7ae66c3485a,false,false,
NAT-EST-3479cf30-a1cc-4f75-a3e5-95a20a5f41bd,Saint Louis Higher Institute of Health and Biomedical Sciences,,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,3479cf30-a1cc-4f75-a3e5-95a20a5f41bd,false,false,
NAT-EST-ae31d758-9761-48cb-9940-364ed017f7e4,ST Jude’s Higher Institute of Nursing and Biomedical,,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,ae31d758-9761-48cb-9940-364ed017f7e4,false,false,
NAT-EST-65e33024-e0fb-40c0-a518-4a47a6d5253e,ST Thierry Higher Institute of Health Science and Technology (SHIHSAT),,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,65e33024-e0fb-40c0-a518-4a47a6d5253e,false,false,
NAT-EST-e3acd884-6f56-4846-8e0c-e889637e4798,Taniform Higher Institute of Learning (THIL),Bamenda,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e3acd884-6f56-4846-8e0c-e889637e4798,false,false,
NAT-EST-60c33474-78b0-4877-a876-70637359eb44,Saint Laurence Higher Institute (SLHI),BAMENDA/NDOP,NORD-OUEST,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,60c33474-78b0-4877-a876-70637359eb44,false,false,
NAT-EST-caada710-d33f-4ad9-b12f-434c0b29c79f,Saint Michael Higher Institute of Professional Studies (SHIPS),Bamenda,Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,caada710-d33f-4ad9-b12f-434c0b29c79f,false,false,
NAT-EST-71d1c40e-7b52-4e8a-86f7-2d89b23218a9,Catholic School of Health Sciences Shisong,Kumbo (Shisong),Nord-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,71d1c40e-7b52-4e8a-86f7-2d89b23218a9,false,false,
NAT-EST-c5c5a2e6-f485-4b79-9a91-df38c611d10f,Institut Supérieur du Septentrion Informatique,,Nord,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,c5c5a2e6-f485-4b79-9a91-df38c611d10f,false,false,
NAT-EST-7ee5177d-8b4c-47f3-aaa9-9779788c9115,Institut Supérieur la Rosière,Simbock,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,7ee5177d-8b4c-47f3-aaa9-9779788c9115,false,false,
NAT-EST-912fce41-6350-4308-8765-8ab5f47eced2,Institut Supérieur des Techniques Economiques et Comptables,Akwa,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,912fce41-6350-4308-8765-8ab5f47eced2,false,false,
NAT-EST-a51759a5-78ff-4801-ae85-7468b6e484d9,Landmark Higher Institute (LHI),,Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,a51759a5-78ff-4801-ae85-7468b6e484d9,false,false,
NAT-EST-dd94a049-ffc5-4037-9e08-b8c61f7c72e3,Institut Supérieur de Psychopédagogie Appliquée (ISPPA),Bonamoussadi,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,dd94a049-ffc5-4037-9e08-b8c61f7c72e3,false,false,
NAT-EST-faef2289-0aed-4f88-a7e8-e1f5d4f55330,Institut MBASSI Supérieur,Monatélé,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,faef2289-0aed-4f88-a7e8-e1f5d4f55330,false,false,
NAT-EST-e38d7302-823d-41d7-8fdc-da3587356b64,HIPTEX University Institute,,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e38d7302-823d-41d7-8fdc-da3587356b64,false,false,
NAT-EST-4294352d-156c-4d46-a53b-fbc734a7a43a,Institut AGENLA Academy,Yaoundé (Nkoabang),Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,4294352d-156c-4d46-a53b-fbc734a7a43a,false,false,
NAT-EST-e9574400-9b8c-4bb4-a7cf-ab3945631107,Ecole Sup Prépa,Yaoundé (Nkolfoulou),Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e9574400-9b8c-4bb4-a7cf-ab3945631107,false,false,
NAT-EST-0dde7325-d9ae-4eb5-a789-31cead5d6c23,Institut Supérieur du Génie Thermique et Énergétique,Ndogbong,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,0dde7325-d9ae-4eb5-a789-31cead5d6c23,false,false,
NAT-EST-9e6d4c5d-cb88-48e8-aa88-ae97ed735940,Institut des Hautes Etudes Supérieures (IHES),Nyalla Pariso Maison Jumelle,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,9e6d4c5d-cb88-48e8-aa88-ae97ed735940,false,false,
NAT-EST-e6ca0d1f-c223-478a-bcf0-dcaf9f3233da,Institut Supérieur Yérima    Dewa,Galbidjie,Nord,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e6ca0d1f-c223-478a-bcf0-dcaf9f3233da,false,false,
NAT-EST-f959c749-344e-4b25-b874-efaf05d58060,Institut Supérieur des Formations Appliquées (ISFA),Bonandjo,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,f959c749-344e-4b25-b874-efaf05d58060,false,false,
NAT-EST-0e72a720-87f9-437a-b475-eed7d09e4782,Institut d’Enseignement Supérieur Foyaguem (IESF),Keleng,Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,0e72a720-87f9-437a-b475-eed7d09e4782,false,false,
NAT-EST-037c7154-803b-4a5a-91a0-9a2225ec4e79,Institut Supérieur des Métiers (ISMET),PK8,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,037c7154-803b-4a5a-91a0-9a2225ec4e79,false,false,
NAT-EST-f4abb3ae-6093-4784-953a-fb7a66b80a7c,Institut Supérieur MINGOLE (ISM),Deido,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,f4abb3ae-6093-4784-953a-fb7a66b80a7c,false,false,
NAT-EST-0b642da2-df91-4ff6-8393-637fb03be75e,Institut Supérieur des Affaires (ISA),,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,0b642da2-df91-4ff6-8393-637fb03be75e,false,false,
NAT-EST-f88d6a3b-75d5-465c-875a-0ef079066688,Institut Supérieur de Génie Civil (ISGeC),,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,f88d6a3b-75d5-465c-875a-0ef079066688,false,false,
NAT-EST-0b1c429a-eb85-449b-b536-b90e3c39a9e8,Institut Supérieur Kalata (ISKA),Avenue Kennedy,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,0b1c429a-eb85-449b-b536-b90e3c39a9e8,false,false,
NAT-EST-ec87da41-75c0-4b84-a574-633920c2a230,SMU Higher Institute,,Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,ec87da41-75c0-4b84-a574-633920c2a230,false,false,
NAT-EST-b969e308-03a4-4c3b-a254-fa31170d248e,Institut Supérieur Jimit (ISJ),Ngoa-Ekelle,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,b969e308-03a4-4c3b-a254-fa31170d248e,false,false,
NAT-EST-18f67de1-3a0a-4d34-9067-f74951560590,Institut Supérieur de l’Emergence (ISE),Odza,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,18f67de1-3a0a-4d34-9067-f74951560590,false,false,
NAT-EST-e0f3e023-7eea-4094-ad85-62472d7f06fb,Institut Supérieur Lumière,Ndokotti,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e0f3e023-7eea-4094-ad85-62472d7f06fb,false,false,
NAT-EST-02145db9-77d6-4243-9379-7256179f397b,Chartered Higher Institute of Cameroon (CHIC),Muea,Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,02145db9-77d6-4243-9379-7256179f397b,false,false,
NAT-EST-a3e97859-690c-4ab1-82b4-adf31416bcc3,FOMIC Polytechnic,,Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,a3e97859-690c-4ab1-82b4-adf31416bcc3,false,false,
