candidate_id,name,ministry,final_v1_classification
fef9e2a5-fe95-45f5-9416-e33aae3b6d46,École de Formation (EFO) - CCAA,MINTRANSPORT,ALREADY_LIVE
9e458451-dc1d-40c2-8ecc-ad883478ddab,Centre de formation professionnelle maritime « Le Paquebot »,MINTRANSPORT,ALREADY_LIVE
f6635829-0c3f-4e15-a144-2f1f7c99ab24,AUTO ECOLE ASTRALE,MINTRANSPORT,ALREADY_LIVE
"MINESUP-E:ACHAS Higher Institute of Sustainable Tourism, Hospitality and Business Management","ACHAS Higher Institute of Sustainable Tourism, Hospitality and Business Management",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:ANDANGKENG Higher Institute of Professional Studies (AHIPS),ANDANGKENG Higher Institute of Professional Studies (AHIPS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Access Higher Institute of Professional Studies (Access-HIPS),Access Higher Institute of Professional Studies (Access-HIPS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Access Higher Institute of Professional Studies (Access-HIPS),Access Higher Institute of Professional Studies (Access-HIPS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Alpha Higher Institute of Biomedical and Technological Sciences,Alpha Higher Institute of Biomedical and Technological Sciences,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:British Higher Institute of Science and Technology (BHIST),British Higher Institute of Science and Technology (BHIST),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Canadian Higher Institute of Technology (CHIT),Canadian Higher Institute of Technology (CHIT),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Catholic University Institute of Buea,Catholic University Institute of Buea,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Catholic University Institute of Mamfe,Catholic University Institute of Mamfe,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Centre International des Etudes Polytechniques d’Obala,Centre International des Etudes Polytechniques d’Obala,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Chartered Higher Institute of Technology and Management (CHITECHMA),Chartered Higher Institute of Technology and Management (CHITECHMA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Citec Higher Institute of Technology and Management (ICTU),Citec Higher Institute of Technology and Management (ICTU),MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Comfort Higher Institute of Health, Management and Education (CHIHME)","Comfort Higher Institute of Health, Management and Education (CHIHME)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Douala Higher Institute of Technology (DIT),Douala Higher Institute of Technology (DIT),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Dunamis Higher Institute of Applied Professional Studies (DHIAPS),Dunamis Higher Institute of Applied Professional Studies (DHIAPS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ecole Supérieure Africaine de Technologies Appliquées et de Gestion (ESATAG),Ecole Supérieure Africaine de Technologies Appliquées et de Gestion (ESATAG),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ecole Supérieure de Commerce et de Gestion de Yaoundé (ESCGY),Ecole Supérieure de Commerce et de Gestion de Yaoundé (ESCGY),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ecole Supérieure de Commerce et de Gestion des Entreprises (SUP de CO),Ecole Supérieure de Commerce et de Gestion des Entreprises (SUP de CO),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ecole Supérieure de Commerce et de Management PIGIER Cameroun,Ecole Supérieure de Commerce et de Management PIGIER Cameroun,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ecole Supérieure de Management et des Technologies Appliquées « ESMATA»,Ecole Supérieure de Management et des Technologies Appliquées « ESMATA»,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ecole Supérieure des Sciences Appliquées de Bertoua,Ecole Supérieure des Sciences Appliquées de Bertoua,MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Ecole Supérieure des Sciences de la Finance, de l’Assurance et des Risques de Yaoundé (ESSFAR)","Ecole Supérieure des Sciences de la Finance, de l’Assurance et des Risques de Yaoundé (ESSFAR)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ecole Supérieure des Sciences et Techniques (ESSET),Ecole Supérieure des Sciences et Techniques (ESSET),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ecole Supérieure d’Ingénieur d’Afrique Centrale (ESIAC),Ecole Supérieure d’Ingénieur d’Afrique Centrale (ESIAC),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Ejed Higher Institute of Management and Biomedical Sciences (EHIMBS),Ejed Higher Institute of Management and Biomedical Sciences (EHIMBS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Formulaire pour la demande d'équivalence des diplômes au MINESUP : Version française   ;  Version anglaise,Formulaire pour la demande d'équivalence des diplômes au MINESUP : Version française   ;  Version anglaise,MINESUP,DEFERRED_V2_DUPLICATE
