official_id,official_name,region,locality,category,locality_status,review_required,source
5CC1GSFD102014103,CES de METEP,CENTRE,METEP,secondary_general,VALID,NO,MINESEC
5CC1GSFD110596107,Lyce de BIBEY,CENTRE,MPANANG,secondary_general,VALID,NO,MINESEC
5CE1GSFD100766112,CES d'ENDOUMDANE,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CE1GSFD100593111,CES de ZOA,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CE1GSFD110124108,Lyce de BANA-ONDOM,CENTRE,Bana-ondom,secondary_general,VALID,NO,MINESEC
5CE1GSFD110541109,Lyce de LEMBE-YEZOUM,CENTRE,1 er degre,secondary_general,CLEARLY_INVALID,YES,MINESEC
5CH1GSFD102443109,CES de NDJORE,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CH1GSBD110468106,Lyce Bilingue de MBANDJOCK,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CH1GSFD110137113,Lyce de MBANDJOCK,CENTRE,2e DEGRE,secondary_general,CLEARLY_INVALID,YES,MINESEC
5CI1GSFD102464099,CES de MEKON II,CENTRE,MEKON II,secondary_general,VALID,NO,MINESEC
5CI1GSFD100114108,CES de NGO'O,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CI1GSFD100480106,CES de VELA,CENTRE,VELA,secondary_general,VALID,NO,MINESEC
5CI1GSBD112087112,Lyce Bilingue de MINTA,CENTRE,Minta,secondary_general,VALID,NO,MINESEC
5CI1GSFD110426111,Lyce de WALL,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CJ1GSFD101886104,CES d'OUASSA-BAMVELE,CENTRE,3e degre Oussa Bamvele,secondary_general,NEEDS_REVIEW,YES,MINESEC
5CJ1GSFD100415107,CES de BIBOA,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CJ1GSFD100378107,CES de DEA,CENTRE,CHEFFERIE DE DEA,secondary_general,POSSIBLE_REAL_LOCALITY,NO,MINESEC
5CJ1GSBD112195111,Lyce Bilingue de NANGA-EBOKO,CENTRE,3me DEGRE,secondary_general,CLEARLY_INVALID,YES,MINESEC
5CJ1GSFD111355078,Lyce Classique de NANGA-EBOKO,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CJ1GSFD110432114,Lyce de NANGA-EBOKO-RURAL,CENTRE,NGUINDAL,secondary_general,VALID,NO,MINESEC
5CK1GSFD101633112,CES de CAMP-NANGAH,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CK1GSBD110390109,Lyce Bilingue de NKOTENG,CENTRE,,secondary_general,MISSING,NO,MINESEC
5CK1GSFD111673096,Lyce de NKOTENG,CENTRE,3me DEGRE,secondary_general,CLEARLY_INVALID,YES,MINESEC
5CL1GSFD110015112,Lyce de NSEM,CENTRE,,secondary_general,MISSING,NO,MINESEC
5EC1GSFD102379110,CES d'ELON,CENTRE,ELON,secondary_general,VALID,NO,MINESEC
5EC1GSFD110571100,Lyce de BATSCHENGA,CENTRE,EMANA,secondary_general,VALID,NO,MINESEC
5EE1GSFD100668107,CES de KOAN,CENTRE,KOAN,secondary_general,VALID,NO,MINESEC
5EE1GSFD100863110,CES de LEKA,CENTRE,LEKA,secondary_general,VALID,NO,MINESEC
5EE1GSFD101075109,CES de NKANG-EFOK,CENTRE,BENYABEGA,secondary_general,VALID,NO,MINESEC
5EE1GSFD101942112,CES de NKOM,CENTRE,NKOM,secondary_general,VALID,NO,MINESEC
5EE1GSFD112081101,Lyce d'EBEBDA,CENTRE,EBEBDA II,secondary_general,VALID,NO,MINESEC
5EH1GSFD112402105,Lyce d'ELIG-MFOMO,CENTRE,ELIG-MFOMO,secondary_general,VALID,NO,MINESEC
5EH1GSFD110860112,Lyce de KOKODO,CENTRE,OUI,secondary_general,CLEARLY_INVALID,YES,MINESEC
5EH1GSFD110627111,Lyce de NIGA,CENTRE,NIGA,secondary_general,VALID,NO,MINESEC
5EI1GSFD101079110,CES de KOMO-EVODOULA,CENTRE,KOMO,secondary_general,VALID,NO,MINESEC
5EI1GSFD100585109,CES de NLOUDOU,CENTRE,NLOUDOU,secondary_general,VALID,NO,MINESEC
5EI1GSBD111909115,Lyce Bilingue d'EVODOULA,CENTRE,Accueil,secondary_general,VALID,NO,MINESEC
5EI1GSFD111913112,Lyce de NKOLASSA,CENTRE,NKOLASSA,secondary_general,VALID,NO,MINESEC
5EI1GSFD112406111,Lyce de NKOLKOUGDA,CENTRE,NKOLKOUGDA,secondary_general,VALID,NO,MINESEC
5EI1GSFD110176111,Lyce de PONGSOLO,CENTRE,PONGSOLO,secondary_general,VALID,NO,MINESEC
5EJ1GSFD101063110,CES d'EKEKAM III,CENTRE,,secondary_general,MISSING,NO,MINESEC
5EJ1GSFD100844111,CES de NKOLMEYANG-LOBO,CENTRE,,secondary_general,MISSING,NO,MINESEC
5EJ1GSFD111068108,Lyce de LOBO,CENTRE,LOBO,secondary_general,VALID,NO,MINESEC
5EJ1GSFD112136099,Lyce Moderne de NLONG,CENTRE,NLONG,secondary_general,VALID,NO,MINESEC
5EK1GSFD102359110,CES D'ELIG-AMBASSA,CENTRE,,secondary_general,MISSING,NO,MINESEC
5EK1GSFD102362110,CES de KOUGOUDA-CENTRE,CENTRE,Kougouda-centre,secondary_general,VALID,NO,MINESEC
5EK1GSBD102460112,Lyce Bilingue de MONATELE,CENTRE,NGONG-MESSA,secondary_general,VALID,NO,MINESEC
5EK1GSFD110163112,Lyce de MONABO,CENTRE,Monabo,secondary_general,VALID,NO,MINESEC
5EK1GSFD112455078,Lyce de MONATELE,CENTRE,INDICK,secondary_general,VALID,NO,MINESEC
5EK1GSFD111867112,Lyce de MONATELE II,CENTRE,MONATELE II,secondary_general,VALID,NO,MINESEC
5EL1GSFD102434109,CES d'ELIG-NGOMO,CENTRE,Elig ngomo,secondary_general,VALID,NO,MINESEC
5EL1GSFD100133109,CES d'ELIG-NKOUMA,CENTRE,ELIG-NKOUMA I,secondary_general,VALID,NO,MINESEC
5EL1GSFD102447106,CES d'ESSONG (Obala),CENTRE,ESSONG,secondary_general,VALID,NO,MINESEC
5EL1GSFD102441111,CES de MBELLE I,CENTRE,MBELE I,secondary_general,VALID,NO,MINESEC
5EL1GSFD100193106,CES de NTUISSONG-OBALA,CENTRE,NKOLTOMO I,secondary_general,VALID,NO,MINESEC
5EL1GSBD110715109,Lyce Bilingue d'OBALA,CENTRE,Abokono,secondary_general,VALID,NO,MINESEC
5EL1GSFD110185111,Lyce d'EFOK,CENTRE,EFOK,secondary_general,VALID,NO,MINESEC
5EL1GSFD110363111,Lyce d'EZEZANG-MENDOUM,CENTRE,EZEZANG-MENDOUM,secondary_general,VALID,NO,MINESEC
5EL1GSFD112458074,Lyce d'OBALA,CENTRE,ABOKONO,secondary_general,VALID,NO,MINESEC
5EL1GSFD110377112,Lyce de KOUDANDENG,CENTRE,KOUDANDENG,secondary_general,VALID,NO,MINESEC
5EL1GSFD110311110,Lyce de MINKAMA,CENTRE,Minkama 6,secondary_general,VALID,NO,MINESEC
5EL1GSFD110340097,Lyce de NKOMOTOU,CENTRE,Nkomotou III,secondary_general,VALID,NO,MINESEC
5EL1GSFD110017109,Lyce de YEMESSOA I,CENTRE,YEMESSOA I,secondary_general,VALID,NO,MINESEC
5EM1GSFD100806109,CES d'EKABITA-TOM,CENTRE,EKABITA-TOM,secondary_general,VALID,NO,MINESEC
5EM1GSFD102454109,CES d'OKOUKOUDA,CENTRE,Okoukouda,secondary_general,VALID,NO,MINESEC
5EM1GSFD102420111,CES de BITSINGDA,CENTRE,MBELEKIE,secondary_general,VALID,NO,MINESEC
5EM1GSFD102423111,CES de MINSOA I,CENTRE,MINSOA I,secondary_general,VALID,NO,MINESEC
5EM1GSFD102386112,CES de NGOYA II,CENTRE,NGOYA II,secondary_general,VALID,NO,MINESEC
5EM1GSFD102451112,CES de NKOLAKIE,CENTRE,,secondary_general,MISSING,NO,MINESEC
5EM1GSFD102429112,CES de NKOLEKOTSING,CENTRE,NKOLEKOTSING,secondary_general,VALID,NO,MINESEC
5EM1GSFD100792109,CES de VOA II,CENTRE,Oui,secondary_general,CLEARLY_INVALID,YES,MINESEC
5EM1GSFD110122091,Lyce d'OKOLA,CENTRE,MVOG-NAMA,secondary_general,VALID,NO,MINESEC
5EM1GSFD110549111,Lyce de NKOLPOBLO,CENTRE,NKOLPOBLO,secondary_general,VALID,NO,MINESEC
5EM1GSFD112245109,Lyce de NTUISSONG-OKOLA,CENTRE,NTUISSONG-OKOLA,secondary_general,VALID,NO,MINESEC
5EM1GSFD110103106,Lyce de ZAMENGOUE,CENTRE,NGOYA,secondary_general,VALID,NO,MINESEC
5EN1GSFD102366109,CES d'ONDONDO I,CENTRE,ONDONDO I,secondary_general,VALID,NO,MINESEC
5EN1GSFD100139110,CES de NKOLBOGO I,CENTRE,NKOLBOGO,secondary_general,VALID,NO,MINESEC
5EN1GSFD100160106,CES de NKOLZOA I,CENTRE,NKOLZOA I,secondary_general,VALID,NO,MINESEC
5EN1GSFD100127107,CES de NLONGZOG,CENTRE,ENGAP,secondary_general,VALID,NO,MINESEC
5EN1GSFD100736108,CES de POLO,CENTRE,POLO,secondary_general,VALID,NO,MINESEC
5EN1GSBD100778113,Lyce Bilingue de SA'A,CENTRE,ELIG-ZOGO,secondary_general,VALID,NO,MINESEC
5EN1GSFD112179100,Lyce d'EKEKOM,CENTRE,EKEKOM,secondary_general,VALID,NO,MINESEC
5EN1GSFD110769115,Lyce de MENGAMA,CENTRE,,secondary_general,MISSING,NO,MINESEC
5EN1GSFD112128110,Lyce de NKOL-EBASSIMBI,CENTRE,Nkol-Ebassimbi,secondary_general,VALID,NO,MINESEC
5EN1GSFD111938106,Lyce de NKOLVE,CENTRE,NKOLVE,secondary_general,VALID,NO,MINESEC
5EN1GSFD112395091,Lyce de SA'A,CENTRE,SA'A,secondary_general,VALID,NO,MINESEC
5HC1GSFD100893109,CES de DONENKENG,CENTRE,WALO,secondary_general,VALID,NO,MINESEC
5HC1GSFD101873111,CES de LABLE,CENTRE,3e dgr LABLE,secondary_general,VALID,NO,MINESEC
5HC1GSFD100920104,CES de MERENG,CENTRE,Goufan 1,secondary_general,VALID,NO,MINESEC
5HC1GSFD102850115,CES de RIMIS-BAFIA,CENTRE,RIMIS,secondary_general,VALID,NO,MINESEC
5HC1GSBD111839105,Lyce Bilingue de BAFIA,CENTRE,RIMIS,secondary_general,VALID,NO,MINESEC
5HC1GSFD112342106,Lyce Classique et Moderne de BAFIA,CENTRE,BIABEZOK,secondary_general,VALID,NO,MINESEC
5HE1GSFD102851115,CES d'EDIOLOMO,CENTRE,EDIOLOMO,secondary_general,VALID,NO,MINESEC
5HH1GSFD100136105,CES de BANGONG,CENTRE,BISSIA,secondary_general,VALID,NO,MINESEC
5HE1GSFD102690114,CES de BEGNI,CENTRE,BEGNI,secondary_general,VALID,NO,MINESEC
5HE1GSFD100850111,CES de BOKAGA II,CENTRE,3e degre,secondary_general,CLEARLY_INVALID,YES,MINESEC
5HE1GSFD101052110,CES de GUEFIGUE,CENTRE,GUEFIGUE,secondary_general,VALID,NO,MINESEC
5HE1GSFD100402113,CES de TCHEKOS,CENTRE,Tchekos,secondary_general,VALID,NO,MINESEC
5HE1GSBD111897115,Lyce Bilingue de BOKITO,CENTRE,BOKITO-VILLE N 1,secondary_general,VALID,NO,MINESEC
