candidate_id,name,matching_level,already_live,already_staging,classification
TC-01,AUTO ECOLE ASTRALE,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-02,AUTO ECOLE FRANCAISE,PROBABLE_MATCH,NO,NO,DUPLICATE_REVIEW
TC-03,AUTO ECOLE GERMANIA,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-04,AUTO ECOLE LEO,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-05,AUTO ECOLE TRECY,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-06,AUTO ECOLE TURBO,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-07,AUTO ECOLE TURBO NKOMKANA,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-08,METROPOLITAINE INTERNATIONALE SCES,PROBABLE_MATCH,NO,NO,IDENTITY_REVIEW
TC-09,AUTO ECOLE MONTHE,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-10,AUTO ECOLE APPRENDRE & AIMER LA CONDUITE,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-11,EMIPAC (École Maritime Industrielle et Portuaire de l'Afrique Centrale),PROBABLE_MATCH,NO,NO,DUPLICATE_REVIEW
TC-12,IT2MIP (Institut des Technologies de la Marine Marchande et Industrie Portuaire),PROBABLE_MATCH,NO,NO,DUPLICATE_REVIEW
TC-13,Centre de formation professionnelle maritime « Le Paquebot »,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-14,Centre d'Instruction Maritime et Portuaire,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-15,École de Formation (EFO) - CCAA,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-16,IRDSM Aviation,NO_MATCH,NO,NO,SOURCE_REVIEW
TC-17,Fleet Management Academy,AMBIGUOUS,NO,NO,IDENTITY_REVIEW
