candidate_id,name,presence_confidence,identity_confidence,official_verification,publication_readiness,duplicate_unresolved,cross_ministry_unresolved,provenance_complete
TC-01,AUTO ECOLE ASTRALE,SINGLE_SOURCE,RESOLVED,UNVERIFIED,PUBLISHABLE_UNVERIFIED,NO,NO,YES
TC-02,AUTO ECOLE FRANCAISE,SINGLE_SOURCE,PROBABLE,UNVERIFIED,REVIEW_REQUIRED,YES,NO,NO
TC-03,AUTO ECOLE GERMANIA,SINGLE_SOURCE,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-04,AUTO ECOLE LEO,SINGLE_SOURCE,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-05,AUTO ECOLE TRECY,SINGLE_SOURCE,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-06,AUTO ECOLE TURBO,SINGLE_SOURCE,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-07,AUTO ECOLE TURBO NKOMKANA,SINGLE_SOURCE,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-08,METROPOLITAINE INTERNATIONALE SCES,SINGLE_SOURCE,UNRESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-09,AUTO ECOLE MONTHE,SINGLE_SOURCE,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-10,AUTO ECOLE APPRENDRE & AIMER LA CONDUITE,SINGLE_SOURCE,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-11,EMIPAC (École Maritime Industrielle et Portuaire de l'Afrique Centrale),CORROBORATED,PROBABLE,UNVERIFIED,REVIEW_REQUIRED,YES,NO,YES
TC-12,IT2MIP (Institut des Technologies de la Marine Marchande et Industrie Portuaire),SINGLE_SOURCE,CONFLICTING,UNVERIFIED,REVIEW_REQUIRED,YES,YES,YES
TC-13,Centre de formation professionnelle maritime « Le Paquebot »,SINGLE_SOURCE,RESOLVED,UNVERIFIED,PUBLISHABLE_UNVERIFIED,NO,NO,YES
TC-14,Centre d'Instruction Maritime et Portuaire,SINGLE_SOURCE,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-15,École de Formation (EFO) - CCAA,CORROBORATED,RESOLVED,UNVERIFIED,PUBLISHABLE_UNVERIFIED,NO,NO,YES
TC-16,IRDSM Aviation,MULTI_SOURCE_WEAK,RESOLVED,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
TC-17,Fleet Management Academy,SINGLE_SOURCE,CONFLICTING,UNVERIFIED,REVIEW_REQUIRED,NO,NO,NO
